Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,3650.0,3710.0,3550.0,3590.0,3615.0,447800063.0,1618800012973.0,10539.0,وبملت,بانک ملت,بورس
2023-01-22,1401-11-02,3590.0,3683.0,3514.0,3612.0,3594.0,321801884.0,1156670696406.0,8335.0,وبملت,بانک ملت,بورس
2023-01-23,1401-11-03,3635.0,3695.0,3470.0,3529.0,3560.0,330246579.0,1175594624786.0,8509.0,وبملت,بانک ملت,بورس
2023-01-24,1401-11-04,3545.0,3545.0,3409.0,3440.0,3456.0,262599218.0,907584570262.0,7832.0,وبملت,بانک ملت,بورس
2023-01-25,1401-11-05,3420.0,3448.0,3281.0,3310.0,3323.0,324819433.0,1079504115818.0,8204.0,وبملت,بانک ملت,بورس
2023-01-28,1401-11-08,3325.0,3331.0,3160.0,3192.0,3210.0,313942136.0,1007693047005.0,8687.0,وبملت,بانک ملت,بورس
2023-01-29,1401-11-09,3149.0,3162.0,2990.0,3037.0,3024.0,434899750.0,1315062508741.0,9477.0,وبملت,بانک ملت,بورس
2023-01-30,1401-11-10,3000.0,3168.0,2960.0,3120.0,3055.0,313088999.0,956359620538.0,8065.0,وبملت,بانک ملت,بورس
2023-01-31,1401-11-11,3180.0,3268.0,3126.0,3246.0,3229.0,462344249.0,1492758868792.0,11373.0,وبملت,بانک ملت,بورس
2023-02-01,1401-11-12,3270.0,3335.0,3170.0,3302.0,3286.0,330805144.0,1087031322392.0,7317.0,وبملت,بانک ملت,بورس
2023-02-04,1401-11-12,3270.0,3335.0,3170.0,3302.0,3286.0,330805144.0,1087031322392.0,7317.0,وبملت,بانک ملت,بورس
2023-02-05,1401-11-16,3302.0,3320.0,3144.0,3160.0,3229.0,360359927.0,1163658232089.0,8220.0,وبملت,بانک ملت,بورس
2023-02-06,1401-11-17,3170.0,3401.0,3123.0,3352.0,3321.0,713653705.0,2370213540042.0,9846.0,وبملت,بانک ملت,بورس
2023-02-07,1401-11-18,3421.0,3549.0,3390.0,3450.0,3476.0,1230632536.0,4277890540530.0,17510.0,وبملت,بانک ملت,بورس
2023-02-08,1401-11-18,3421.0,3549.0,3390.0,3450.0,3476.0,1230632536.0,4277890540530.0,17510.0,وبملت,بانک ملت,بورس
2023-02-11,1401-11-18,3421.0,3549.0,3390.0,3450.0,3476.0,1230632536.0,4277890540530.0,17510.0,وبملت,بانک ملت,بورس
