Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,16880.0,17250.0,15860.0,16410.0,16380.0,1294964.0,21208462110.0,524.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-06,1401-03-16,15580.0,16900.0,15400.0,15400.0,15470.0,2218250.0,34314899500.0,314.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-07,1401-03-17,14910.0,16390.0,14630.0,15160.0,15420.0,500590.0,7694085860.0,203.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-08,1401-03-18,15570.0,15570.0,14920.0,15210.0,15230.0,625899.0,9438243520.0,236.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-11,1401-03-21,15380.0,15390.0,14670.0,14900.0,15170.0,398602.0,6000780660.0,188.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-12,1401-03-22,14530.0,15510.0,14500.0,15240.0,15120.0,403631.0,6068410110.0,128.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-13,1401-03-23,15550.0,15550.0,15010.0,15140.0,15150.0,386576.0,5876930490.0,188.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-14,1401-03-24,15580.0,15580.0,14500.0,15130.0,15100.0,383218.0,5753035510.0,154.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-15,1401-03-25,15100.0,15230.0,14630.0,15050.0,15080.0,155862.0,2336179300.0,105.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-18,1401-03-28,14950.0,15100.0,14570.0,14660.0,14970.0,474739.0,7039130940.0,156.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-19,1401-03-29,14560.0,15150.0,14560.0,14720.0,14900.0,487994.0,7231905780.0,208.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-20,1401-03-30,15160.0,15790.0,14650.0,15410.0,15290.0,1045643.0,16011227420.0,275.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-21,1401-03-31,14610.0,15730.0,14610.0,15310.0,15270.0,306801.0,4665853700.0,118.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-22,1401-04-01,15030.0,15510.0,14650.0,15020.0,15220.0,278789.0,4203301590.0,158.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-25,1401-04-04,15500.0,15690.0,14730.0,14910.0,15180.0,455607.0,6895459070.0,256.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-26,1401-04-05,15410.0,15660.0,14650.0,14820.0,15140.0,234540.0,3516407370.0,117.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-27,1401-04-06,14660.0,15370.0,14660.0,14720.0,15100.0,135633.0,2007514080.0,88.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-28,1401-04-07,14650.0,15300.0,14650.0,15100.0,15100.0,142726.0,2152883260.0,89.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-06-29,1401-04-08,14850.0,15250.0,14850.0,15110.0,15090.0,124565.0,1869989960.0,78.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-02,1401-04-11,15260.0,15260.0,14570.0,14900.0,15020.0,211690.0,3115259510.0,103.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-03,1401-04-12,14560.0,14890.0,14550.0,14640.0,14950.0,224765.0,3295365000.0,102.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-04,1401-04-13,14610.0,15120.0,14600.0,14940.0,14880.0,383999.0,5666662720.0,147.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-05,1401-04-14,14610.0,15090.0,14500.0,14510.0,14800.0,412948.0,6058043010.0,257.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-06,1401-04-15,14960.0,14960.0,14450.0,14850.0,14780.0,166242.0,2443159370.0,153.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-09,1401-04-18,14300.0,14970.0,14300.0,14870.0,14710.0,481693.0,7037538560.0,219.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-11,1401-04-20,14360.0,14840.0,13910.0,14560.0,14600.0,304897.0,4367606990.0,190.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-12,1401-04-21,14690.0,14780.0,13830.0,14460.0,14530.0,575507.0,8321642900.0,195.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-13,1401-04-22,14460.0,14780.0,14300.0,14400.0,14530.0,69515.0,1006016380.0,64.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-16,1401-04-25,14230.0,14700.0,14200.0,14450.0,14490.0,237907.0,3409306210.0,85.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-17,1401-04-26,14020.0,14590.0,14020.0,14320.0,14450.0,302368.0,4335913660.0,161.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-19,1401-04-28,13900.0,14420.0,13900.0,14390.0,14440.0,57552.0,822587420.0,71.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-20,1401-04-29,14390.0,14670.0,14030.0,14370.0,14430.0,164294.0,2357313770.0,113.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-23,1401-05-01,14010.0,14680.0,13980.0,14370.0,14370.0,336864.0,4795289100.0,218.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-24,1401-05-02,14050.0,14480.0,13940.0,13960.0,14330.0,210043.0,2971200010.0,98.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-25,1401-05-03,14390.0,14390.0,13630.0,13660.0,14260.0,119766.0,1643008080.0,73.0,وبهمن,سرمایه گذاری بهمن,بورس
2022-07-26,1401-05-04,13560.0,14360.0,13560.0,14170.0,14230.0,225555.0,3179165440.0,126.0,وبهمن,سرمایه گذاری بهمن,بورس
