Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,5020.0,5170.0,4900.0,5070.0,5030.0,11150062.0,56106546520.0,1407.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-06,1401-03-11,5020.0,5170.0,4900.0,5070.0,5030.0,11150062.0,56106546520.0,1407.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-07,1401-03-11,5020.0,5170.0,4900.0,5070.0,5030.0,11150062.0,56106546520.0,1407.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-08,1401-03-11,5020.0,5170.0,4900.0,5070.0,5030.0,11150062.0,56106546520.0,1407.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-11,1401-03-11,5020.0,5170.0,4900.0,5070.0,5030.0,11150062.0,56106546520.0,1407.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-12,1401-03-11,5020.0,5170.0,4900.0,5070.0,5030.0,11150062.0,56106546520.0,1407.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-13,1401-03-23,4760.0,4760.0,4510.0,4580.0,4600.0,8893390.0,40867189900.0,852.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-14,1401-03-24,4700.0,4700.0,4330.0,4380.0,4370.0,15134193.0,66178306260.0,1216.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-15,1401-03-25,4390.0,4400.0,4110.0,4200.0,4190.0,7074303.0,29651302500.0,690.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-18,1401-03-28,4200.0,4264.0,4030.0,4050.0,4082.0,4230765.0,17270346265.0,547.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-19,1401-03-29,4041.0,4315.0,4041.0,4207.0,4214.0,3950696.0,16648805375.0,567.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-20,1401-03-30,4150.0,4450.0,4150.0,4400.0,4363.0,7553161.0,32950848745.0,706.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-21,1401-03-31,4400.0,4428.0,4201.0,4224.0,4354.0,2429469.0,10566644692.0,397.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-22,1401-04-01,4347.0,4347.0,4140.0,4160.0,4221.0,2819613.0,11798774052.0,409.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-25,1401-04-04,4200.0,4277.0,3968.0,4038.0,4029.0,9380736.0,37792453889.0,823.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-26,1401-04-05,4097.0,4098.0,3955.0,4000.0,4009.0,1700876.0,6782798987.0,273.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-27,1401-04-06,3960.0,4035.0,3840.0,3864.0,3903.0,6878432.0,26844014622.0,762.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-28,1401-04-07,3905.0,3990.0,3848.0,3916.0,3926.0,2981165.0,11716392763.0,294.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-06-29,1401-04-08,3930.0,3990.0,3816.0,3941.0,3937.0,1526095.0,6029466114.0,350.0,وبوعلی,سرمایه گذاری بوعلی,بورس
2022-07-02,1401-04-11,3987.0,3987.0,3885.0,3885.0,3943.0,2435549.0,9612205366.0,473.0,وبوعلی,سرمایه گذاری بوعلی,بورس
