Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,9230.0,9570.0,9220.0,9380.0,9390.0,3642586.0,34200319480.0,934.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-06,1401-03-16,9390.0,9450.0,8830.0,8840.0,8880.0,22188316.0,196991783200.0,2356.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-07,1401-03-17,8990.0,9000.0,8630.0,8780.0,8810.0,7922573.0,69776937370.0,1204.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-08,1401-03-18,8700.0,8950.0,8560.0,8780.0,8770.0,3414759.0,29960632150.0,835.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-11,1401-03-21,8780.0,9290.0,8500.0,9010.0,9010.0,9083166.0,81807500690.0,1722.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-12,1401-03-22,9070.0,9410.0,9070.0,9180.0,9230.0,5961942.0,55020196350.0,1388.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-13,1401-03-23,9250.0,9440.0,8960.0,9150.0,9210.0,6584968.0,60617803850.0,1470.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-14,1401-03-24,9090.0,9520.0,9080.0,9190.0,9340.0,5221541.0,48763162300.0,1062.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-15,1401-03-25,9290.0,9300.0,9010.0,9140.0,9130.0,4225122.0,38555840330.0,1044.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-18,1401-03-28,9050.0,9220.0,8700.0,8830.0,8870.0,8167439.0,72466032850.0,945.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-19,1401-03-29,8890.0,8960.0,8560.0,8720.0,8700.0,7589719.0,66008911350.0,1052.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-20,1401-03-30,8650.0,9050.0,8650.0,9030.0,8890.0,7319190.0,65062750250.0,934.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-21,1401-03-31,9040.0,9040.0,8720.0,8800.0,8830.0,3591212.0,31722580730.0,653.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-22,1401-04-01,8890.0,9000.0,8680.0,8820.0,8780.0,4369864.0,38376377400.0,597.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-25,1401-04-04,8700.0,8980.0,8600.0,8760.0,8720.0,5943443.0,51844675660.0,749.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
2022-06-26,1401-04-05,8700.0,8870.0,8610.0,8840.0,8710.0,5315373.0,46281792780.0,652.0,وتوصا,گروه س توسعه صنعتی ایران,بورس
