J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,10080.0,10080.0,9310.0,9330.0,9420.0,6958546.0,65561533480.0,1042.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-01-22,1401-11-02,9060.0,9690.0,8770.0,9130.0,9020.0,4485748.0,40469559010.0,699.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-01-23,1401-11-03,9200.0,9330.0,8930.0,8990.0,9040.0,4132171.0,37373065780.0,500.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-01-24,1401-11-04,8950.0,9210.0,8910.0,9000.0,9030.0,1730305.0,15618146360.0,328.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-01-25,1401-11-05,9160.0,9250.0,8700.0,8820.0,8840.0,2994317.0,26462911530.0,410.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-01-28,1401-11-08,8530.0,8860.0,8400.0,8420.0,8500.0,2118561.0,18008626610.0,387.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-01-29,1401-11-09,8390.0,8390.0,7910.0,7910.0,7930.0,7283547.0,57725616430.0,568.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-01-30,1401-11-10,7860.0,8280.0,7550.0,8000.0,7840.0,2144682.0,16822566010.0,513.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-01-31,1401-11-11,8000.0,8190.0,7800.0,7890.0,7930.0,2057653.0,16308039320.0,239.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-02-01,1401-11-12,7670.0,8000.0,7670.0,7870.0,7850.0,1067938.0,8335387790.0,230.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-02-04,1401-11-12,7670.0,8000.0,7670.0,7870.0,7850.0,1067938.0,8335387790.0,230.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-02-05,1401-11-16,7570.0,7850.0,7570.0,7620.0,7770.0,1425919.0,11038770020.0,407.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-02-06,1401-11-17,7460.0,7770.0,7350.0,7650.0,7670.0,1587507.0,12142922290.0,452.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-02-07,1401-11-18,7660.0,8200.0,7660.0,8200.0,8080.0,4382971.0,35436097580.0,474.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-02-08,1401-11-19,8380.0,8600.0,8340.0,8560.0,8500.0,5568473.0,47341552650.0,598.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-02-11,1401-11-19,8380.0,8600.0,8340.0,8560.0,8500.0,5568473.0,47341552650.0,598.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
2023-02-12,1401-11-23,8420.0,8500.0,8150.0,8400.0,8370.0,3210408.0,26862484030.0,588.0,وتوکا,سرمایه گذاری توکافولاد(هلدینگ,بورس
