Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,4880.0,4940.0,4760.0,4860.0,4860.0,33837250.0,164341019410.0,3148.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-06,1401-03-16,4860.0,4860.0,4569.0,4571.0,4602.0,76853492.0,353689139556.0,5201.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-07,1401-03-17,4530.0,4679.0,4525.0,4530.0,4584.0,26907178.0,123350635758.0,2734.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-08,1401-03-18,4520.0,4640.0,4511.0,4571.0,4561.0,27107534.0,123628685742.0,2662.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-11,1401-03-21,4410.0,4630.0,4403.0,4422.0,4477.0,40130874.0,179684046395.0,3762.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-12,1401-03-22,4422.0,4588.0,4340.0,4524.0,4478.0,35124011.0,157289076614.0,2891.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-13,1401-03-23,4501.0,4694.0,4501.0,4554.0,4598.0,45983951.0,211411747327.0,3163.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-14,1401-03-24,4589.0,4640.0,4505.0,4610.0,4564.0,55820928.0,254767344618.0,3271.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-15,1401-03-25,4619.0,4640.0,4541.0,4610.0,4580.0,26225271.0,120120670975.0,2184.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-18,1401-03-28,4610.0,4620.0,4469.0,4475.0,4513.0,20348464.0,91835161257.0,2133.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-19,1401-03-29,4450.0,4560.0,4380.0,4438.0,4441.0,34059315.0,151258110933.0,2987.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-20,1401-03-30,4407.0,4550.0,4392.0,4416.0,4454.0,28487451.0,126883460708.0,2490.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-21,1401-03-31,4411.0,4485.0,4313.0,4320.0,4362.0,36496015.0,159208541139.0,3432.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-22,1401-04-01,4350.0,4370.0,4220.0,4263.0,4274.0,43630957.0,186473132248.0,3042.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-25,1401-04-04,4280.0,4530.0,4280.0,4501.0,4488.0,63795535.0,286285657928.0,4127.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-26,1401-04-05,4500.0,4500.0,4219.0,4344.0,4343.0,32374920.0,140599762945.0,2298.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-27,1401-04-06,4292.0,4476.0,4261.0,4395.0,4393.0,23125063.0,101593691059.0,2013.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-28,1401-04-07,4450.0,4550.0,4400.0,4420.0,4462.0,25732956.0,114830344731.0,2089.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-06-29,1401-04-08,4375.0,4550.0,4352.0,4464.0,4452.0,33278083.0,148141391152.0,2098.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-02,1401-04-11,4400.0,4410.0,4220.0,4230.0,4281.0,28650371.0,122641731311.0,2636.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-03,1401-04-12,4290.0,4305.0,4230.0,4253.0,4260.0,23649082.0,100744377727.0,2049.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-04,1401-04-13,4253.0,4378.0,4253.0,4267.0,4278.0,27408323.0,117248544827.0,2185.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-05,1401-04-14,4280.0,4385.0,4260.0,4304.0,4313.0,32794706.0,141450142127.0,2378.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-06,1401-04-15,4300.0,4347.0,4189.0,4200.0,4236.0,21974625.0,93080857222.0,2363.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-09,1401-04-18,4200.0,4230.0,4070.0,4119.0,4131.0,29800522.0,123109411385.0,3535.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-11,1401-04-20,4119.0,4149.0,3997.0,4050.0,4039.0,32781729.0,132403309504.0,2881.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-12,1401-04-21,4040.0,4148.0,3950.0,4093.0,4074.0,28655531.0,116753491276.0,2520.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-13,1401-04-22,4160.0,4174.0,4093.0,4112.0,4117.0,24156111.0,99438904559.0,1762.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-16,1401-04-25,4117.0,4117.0,3949.0,3973.0,3997.0,28473305.0,113801872319.0,2755.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-17,1401-04-26,3910.0,4034.0,3910.0,3929.0,3936.0,33738555.0,132809080772.0,2341.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-19,1401-04-28,3987.0,4028.0,3929.0,3933.0,3958.0,21456863.0,84919382992.0,1897.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-20,1401-04-29,3980.0,4028.0,3916.0,4012.0,3990.0,23051212.0,91977065604.0,1808.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-23,1401-05-01,4048.0,4180.0,4047.0,4049.0,4080.0,33003538.0,134655525541.0,2557.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-24,1401-05-02,4079.0,4079.0,3902.0,3927.0,3961.0,29821677.0,118126160490.0,2272.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-25,1401-05-03,3903.0,3980.0,3751.0,3782.0,3808.0,34520223.0,131446320562.0,2878.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-26,1401-05-04,3782.0,3877.0,3782.0,3800.0,3809.0,18575338.0,70759448646.0,1685.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-27,1401-05-05,3810.0,3900.0,3810.0,3855.0,3871.0,15843451.0,61334592969.0,1515.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-30,1401-05-08,3900.0,3928.0,3733.0,3758.0,3815.0,19737421.0,75299047759.0,2061.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-07-31,1401-05-09,3731.0,3790.0,3602.0,3711.0,3675.0,27100757.0,99584273250.0,2265.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-08-01,1401-05-10,3700.0,3767.0,3670.0,3700.0,3707.0,19552541.0,72476104848.0,1301.0,وخارزم,سرمایه گذاری خوارزمی,بورس
2022-08-02,1401-05-11,3730.0,3760.0,3677.0,3756.0,3726.0,18382193.0,68488545935.0,1267.0,وخارزم,سرمایه گذاری خوارزمی,بورس
