Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,1649.0,1654.0,1572.0,1654.0,1626.0,680136730.0,1106156047619.0,9930.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-01-22,1401-11-02,1670.0,1730.0,1513.0,1680.0,1608.0,435162960.0,699917398677.0,7865.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-01-23,1401-11-03,1710.0,1720.0,1680.0,1720.0,1715.0,337567445.0,578970265573.0,4113.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-01-24,1401-11-04,1799.0,1835.0,1765.0,1835.0,1831.0,232301966.0,425394015985.0,3317.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-01-25,1401-11-05,1900.0,1959.0,1854.0,1959.0,1948.0,777718519.0,1514621456814.0,10432.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-01-28,1401-11-08,2049.0,2049.0,1820.0,1840.0,2026.0,81116078.0,164359404558.0,674.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-01-29,1401-11-08,2049.0,2049.0,1820.0,1840.0,2026.0,81116078.0,164359404558.0,674.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-01-30,1401-11-08,2049.0,2049.0,1820.0,1840.0,2026.0,81116078.0,164359404558.0,674.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-01-31,1401-11-11,1902.0,1950.0,1885.0,1885.0,1895.0,121372188.0,230051705339.0,1682.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-01,1401-11-12,1763.0,1835.0,1763.0,1763.0,1769.0,252581034.0,446922088279.0,3933.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-04,1401-11-12,1763.0,1835.0,1763.0,1763.0,1769.0,252581034.0,446922088279.0,3933.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-05,1401-11-16,1660.0,1734.0,1646.0,1646.0,1657.0,454441914.0,752785091782.0,6800.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-06,1401-11-17,1590.0,1772.0,1580.0,1772.0,1710.0,371051165.0,634431016784.0,7495.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-07,1401-11-18,1810.0,1829.0,1752.0,1829.0,1807.0,168043955.0,303726186834.0,3951.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-08,1401-11-19,1850.0,1870.0,1681.0,1681.0,1720.0,209743978.0,360851573505.0,5323.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-11,1401-11-19,1850.0,1870.0,1681.0,1681.0,1720.0,209743978.0,360851573505.0,5323.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-12,1401-11-23,1656.0,1684.0,1600.0,1600.0,1608.0,159832196.0,256970495406.0,3387.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-13,1401-11-24,1620.0,1720.0,1580.0,1720.0,1704.0,303337231.0,516836777055.0,4346.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-14,1401-11-25,1742.0,1823.0,1710.0,1823.0,1813.0,418399250.0,758530530068.0,5421.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-15,1401-11-25,1742.0,1823.0,1710.0,1823.0,1813.0,418399250.0,758530530068.0,5421.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-18,1401-11-25,1742.0,1823.0,1710.0,1823.0,1813.0,418399250.0,758530530068.0,5421.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-19,1401-11-30,1880.0,2011.0,1800.0,1990.0,1942.0,498125745.0,967447225652.0,7318.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-20,1401-12-01,2000.0,2070.0,1860.0,1936.0,1982.0,466179483.0,924126752241.0,9274.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-21,1401-12-02,1935.0,1998.0,1885.0,1919.0,1947.0,144721986.0,281791511676.0,4482.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
2023-02-22,1401-12-03,1899.0,1899.0,1812.0,1815.0,1836.0,129941975.0,238574112571.0,3426.0,وساخت,سرمایه گذاری ساختمان ایران,بورس
