J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,6490.0,6500.0,6020.0,6020.0,6100.0,120530092.0,735211914820.0,5336.0,وساپا,سرمایه گذاری سایپا,بورس
2023-01-22,1401-11-02,6100.0,6240.0,5720.0,6160.0,5980.0,100109487.0,598865376880.0,5010.0,وساپا,سرمایه گذاری سایپا,بورس
2023-01-23,1401-11-03,6200.0,6290.0,5570.0,5850.0,5860.0,134094061.0,786153646730.0,6001.0,وساپا,سرمایه گذاری سایپا,بورس
2023-01-24,1401-11-04,5950.0,6150.0,5870.0,6100.0,6020.0,74505942.0,448207845440.0,3925.0,وساپا,سرمایه گذاری سایپا,بورس
2023-01-25,1401-11-05,6160.0,6170.0,5600.0,5660.0,5700.0,101102090.0,575812274140.0,4290.0,وساپا,سرمایه گذاری سایپا,بورس
2023-01-28,1401-11-08,5740.0,5900.0,5450.0,5620.0,5700.0,84796693.0,483209737790.0,3406.0,وساپا,سرمایه گذاری سایپا,بورس
2023-01-29,1401-11-09,5420.0,5610.0,5310.0,5310.0,5330.0,84493441.0,450583767420.0,2663.0,وساپا,سرمایه گذاری سایپا,بورس
2023-01-30,1401-11-10,5200.0,5330.0,4960.0,5180.0,5100.0,112113745.0,571819994650.0,4207.0,وساپا,سرمایه گذاری سایپا,بورس
2023-01-31,1401-11-11,5170.0,5340.0,4990.0,5260.0,5160.0,76615257.0,395109486860.0,3324.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-01,1401-11-12,5220.0,5270.0,5000.0,5020.0,5090.0,33002549.0,167847144630.0,2003.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-04,1401-11-12,5220.0,5270.0,5000.0,5020.0,5090.0,33002549.0,167847144630.0,2003.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-05,1401-11-16,5000.0,5070.0,4740.0,4740.0,4880.0,41455174.0,202130256810.0,2172.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-06,1401-11-17,4540.0,4680.0,4540.0,4540.0,4560.0,109410967.0,498453543610.0,3955.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-07,1401-11-17,4540.0,4680.0,4540.0,4540.0,4560.0,109410967.0,498453543610.0,3955.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-08,1401-11-17,4540.0,4680.0,4540.0,4540.0,4560.0,109410967.0,498453543610.0,3955.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-11,1401-11-17,4540.0,4680.0,4540.0,4540.0,4560.0,109410967.0,498453543610.0,3955.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-12,1401-11-17,4540.0,4680.0,4540.0,4540.0,4560.0,109410967.0,498453543610.0,3955.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-13,1401-11-24,4860.0,4870.0,4740.0,4870.0,4850.0,97658665.0,473804177950.0,3682.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-14,1401-11-25,4790.0,5030.0,4700.0,4770.0,4880.0,64786418.0,316355543210.0,2907.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-15,1401-11-26,4850.0,4970.0,4700.0,4790.0,4840.0,43271483.0,209600689880.0,2083.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-18,1401-11-26,4850.0,4970.0,4700.0,4790.0,4840.0,43271483.0,209600689880.0,2083.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-19,1401-11-30,4790.0,5007.0,4750.0,4830.0,4880.0,32569935.0,158948398813.0,2111.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-20,1401-12-01,4840.0,5221.0,4840.0,5221.0,5126.0,58857477.0,301692464403.0,2675.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-21,1401-12-02,5290.0,5480.0,5100.0,5138.0,5313.0,60372677.0,320745588452.0,2853.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-22,1401-12-03,5100.0,5278.0,5001.0,5075.0,5088.0,47696181.0,242700513688.0,2127.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-25,1401-12-06,5230.0,5440.0,5230.0,5440.0,5420.0,66513002.0,360262500890.0,2654.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-26,1401-12-07,5630.0,5740.0,5130.0,5230.0,5380.0,69487466.0,373696728960.0,4064.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-27,1401-12-08,5650.0,5680.0,5330.0,5420.0,5490.0,106281854.0,583525712920.0,4316.0,وساپا,سرمایه گذاری سایپا,بورس
2023-02-28,1401-12-09,5330.0,5470.0,5140.0,5200.0,5290.0,71346032.0,377373236110.0,3668.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-01,1401-12-10,5210.0,5250.0,4920.0,4920.0,5020.0,76572584.0,384332205450.0,3943.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-05,1401-12-14,5330.0,5450.0,5160.0,5180.0,5300.0,50305642.0,266500357980.0,2630.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-06,1401-12-15,5120.0,5320.0,5060.0,5240.0,5220.0,34768107.0,181553051210.0,2017.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-07,1401-12-16,5330.0,5380.0,5030.0,5170.0,5200.0,73023631.0,379425722700.0,2925.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-08,1401-12-16,5330.0,5380.0,5030.0,5170.0,5200.0,73023631.0,379425722700.0,2925.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-12,1401-12-21,5250.0,5300.0,5040.0,5110.0,5130.0,29858804.0,153184152560.0,2154.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-13,1401-12-22,5020.0,5230.0,5010.0,5130.0,5110.0,34098765.0,174361013020.0,2164.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-14,1401-12-23,5090.0,5230.0,5020.0,5210.0,5170.0,33475626.0,172903555260.0,2754.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-15,1401-12-24,5230.0,5400.0,5190.0,5290.0,5290.0,38558961.0,204145873080.0,2669.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-19,1401-12-28,5740.0,5940.0,5550.0,5820.0,5810.0,52339467.0,304303839370.0,2638.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-20,1401-12-28,5740.0,5940.0,5550.0,5820.0,5810.0,52339467.0,304303839370.0,2638.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-21,1401-12-28,5740.0,5940.0,5550.0,5820.0,5810.0,52339467.0,304303839370.0,2638.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-22,1401-12-28,5740.0,5940.0,5550.0,5820.0,5810.0,52339467.0,304303839370.0,2638.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-25,1402-01-05,5870.0,6150.0,5660.0,5820.0,5920.0,54301777.0,321454445060.0,3112.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-26,1402-01-06,5830.0,6000.0,5520.0,5550.0,5740.0,48982501.0,281323453500.0,3635.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-27,1402-01-07,5600.0,5840.0,5550.0,5770.0,5730.0,55666049.0,318790427750.0,3400.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-28,1402-01-08,5850.0,6000.0,5710.0,5840.0,5830.0,43215674.0,251814997060.0,2715.0,وساپا,سرمایه گذاری سایپا,بورس
2023-03-29,1402-01-09,5890.0,6100.0,5840.0,6100.0,6020.0,54477116.0,328048507280.0,3601.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-01,1402-01-09,5890.0,6100.0,5840.0,6100.0,6020.0,54477116.0,328048507280.0,3601.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-02,1402-01-09,5890.0,6100.0,5840.0,6100.0,6020.0,54477116.0,328048507280.0,3601.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-03,1402-01-14,6130.0,6440.0,5860.0,6440.0,6330.0,86756035.0,549524757290.0,4464.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-04,1402-01-15,6540.0,6630.0,6100.0,6200.0,6330.0,83185299.0,526249298480.0,4845.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-05,1402-01-16,6120.0,6400.0,6030.0,6290.0,6230.0,79947490.0,497808583730.0,4264.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-09,1402-01-20,6120.0,6660.0,6120.0,6660.0,6560.0,189560663.0,1243821896210.0,7730.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-10,1402-01-21,7010.0,7010.0,6450.0,6680.0,6860.0,273348272.0,1874863026260.0,13596.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-11,1402-01-22,6800.0,7340.0,6680.0,7340.0,7170.0,225518551.0,1617440853620.0,10345.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-12,1402-01-22,6800.0,7340.0,6680.0,7340.0,7170.0,225518551.0,1617440853620.0,10345.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-15,1402-01-26,7670.0,7670.0,7670.0,7670.0,7670.0,44401637.0,340560555790.0,1105.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-16,1402-01-27,8150.0,8200.0,7770.0,8030.0,8090.0,299461502.0,2422797258700.0,18051.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-17,1402-01-28,8000.0,8400.0,7770.0,7960.0,8060.0,173594803.0,1399456464470.0,12070.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-18,1402-01-29,8070.0,8590.0,8000.0,8320.0,8330.0,145371091.0,1210880427650.0,9088.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-19,1402-01-30,8500.0,8580.0,8040.0,8120.0,8250.0,83911020.0,691898114420.0,6802.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-22,1402-01-30,8500.0,8580.0,8040.0,8120.0,8250.0,83911020.0,691898114420.0,6802.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-24,1402-02-04,8250.0,8600.0,7960.0,8400.0,8310.0,107402457.0,892975584160.0,8048.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-25,1402-02-05,8510.0,8770.0,8000.0,8130.0,8300.0,119765345.0,994261108580.0,8324.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-26,1402-02-06,8070.0,8230.0,7740.0,7850.0,7960.0,100102663.0,797301542470.0,8510.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-29,1402-02-09,7950.0,8180.0,7720.0,7800.0,7920.0,114288016.0,905399379210.0,8993.0,وساپا,سرمایه گذاری سایپا,بورس
2023-04-30,1402-02-10,8060.0,8470.0,8060.0,8470.0,8360.0,156848350.0,1310781589280.0,7907.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-01,1402-02-11,8740.0,8900.0,8300.0,8700.0,8670.0,149912679.0,1299526647010.0,9565.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-02,1402-02-12,9210.0,9270.0,9210.0,9270.0,9250.0,48873206.0,452313997390.0,1939.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-03,1402-02-13,9890.0,9890.0,9610.0,9890.0,9870.0,155398931.0,1534294171380.0,9498.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-06,1402-02-16,10560.0,10560.0,10560.0,10560.0,10560.0,32264045.0,340708315200.0,1107.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-07,1402-02-17,10070.0,10300.0,9830.0,9830.0,9920.0,153156893.0,1518715979100.0,7380.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-08,1402-02-18,9360.0,9620.0,9230.0,9230.0,9330.0,74652109.0,696528646950.0,3839.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-09,1402-02-19,8750.0,9750.0,8750.0,9520.0,9230.0,217102922.0,2004591433960.0,12503.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-10,1402-02-20,9570.0,9570.0,8590.0,8590.0,8830.0,95884683.0,846828631840.0,5258.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-13,1402-02-23,8300.0,8500.0,8220.0,8260.0,8240.0,101509748.0,836341526550.0,4602.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-14,1402-02-24,8340.0,8730.0,8100.0,8580.0,8450.0,115960236.0,980225842290.0,6571.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-15,1402-02-25,8580.0,8650.0,7970.0,8090.0,8230.0,83257697.0,684923674540.0,5715.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-17,1402-02-27,8000.0,8510.0,7910.0,8350.0,8280.0,72053144.0,596905442490.0,5244.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-20,1402-02-30,8500.0,8580.0,7800.0,7870.0,8060.0,77519982.0,624667465240.0,5499.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-21,1402-02-31,7980.0,8310.0,7750.0,8070.0,8060.0,59893094.0,482932345930.0,4158.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-22,1402-03-01,8150.0,8390.0,7960.0,8150.0,8170.0,129241792.0,1055361424850.0,7933.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-23,1402-03-01,8150.0,8390.0,7960.0,8150.0,8170.0,129241792.0,1055361424850.0,7933.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-24,1402-03-01,8150.0,8390.0,7960.0,8150.0,8170.0,129241792.0,1055361424850.0,7933.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-27,1402-03-01,8150.0,8390.0,7960.0,8150.0,8170.0,129241792.0,1055361424850.0,7933.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-28,1402-03-01,8150.0,8390.0,7960.0,8150.0,8170.0,129241792.0,1055361424850.0,7933.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-29,1402-03-01,8150.0,8390.0,7960.0,8150.0,8170.0,129241792.0,1055361424850.0,7933.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-30,1402-03-01,8150.0,8390.0,7960.0,8150.0,8170.0,129241792.0,1055361424850.0,7933.0,وساپا,سرمایه گذاری سایپا,بورس
2023-05-31,1402-03-10,6210.0,6210.0,6010.0,6180.0,6150.0,20347774.0,125138317990.0,800.0,وساپا,سرمایه گذاری سایپا,بورس
2023-06-03,1402-03-13,6080.0,6580.0,6080.0,6580.0,6520.0,115729797.0,754940372230.0,5816.0,وساپا,سرمایه گذاری سایپا,بورس
