Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,2840.0,2918.0,2831.0,2880.0,2871.0,2289558.0,6555655501.0,304.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-06,1401-03-16,2871.0,2871.0,2700.0,2732.0,2777.0,8501258.0,23606968289.0,540.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-07,1401-03-17,2701.0,2848.0,2701.0,2800.0,2796.0,6351529.0,17759219975.0,520.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-08,1401-03-18,2888.0,2888.0,2741.0,2816.0,2800.0,5264807.0,14742960928.0,335.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-11,1401-03-21,2783.0,2809.0,2726.0,2745.0,2772.0,2703327.0,7416874144.0,261.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-12,1401-03-22,2732.0,2774.0,2675.0,2740.0,2731.0,5642620.0,15411753205.0,415.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-13,1401-03-23,2725.0,2850.0,2725.0,2800.0,2824.0,11162102.0,31526208987.0,501.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-14,1401-03-24,2800.0,2848.0,2780.0,2800.0,2815.0,4563242.0,12836142581.0,313.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-15,1401-03-25,2815.0,2815.0,2769.0,2787.0,2795.0,4076737.0,11368388446.0,312.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-18,1401-03-28,2742.0,2780.0,2730.0,2757.0,2768.0,2800314.0,7683267741.0,240.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-19,1401-03-29,2768.0,2800.0,2750.0,2769.0,2777.0,3660785.0,10182146160.0,286.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
2022-06-20,1401-03-30,2760.0,2831.0,2754.0,2777.0,2787.0,4018955.0,11216330085.0,278.0,وسکاب,س.ص.بازنشستگی کارکنان بانکها,بورس
