J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,18700.0,18890.0,18290.0,18400.0,18470.0,15673557.0,289504863770.0,2381.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-01-22,1401-11-02,18290.0,18870.0,18290.0,18680.0,18630.0,12298839.0,229102462410.0,1703.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-01-23,1401-11-03,18660.0,19000.0,18600.0,18690.0,18660.0,12963341.0,241926637870.0,1648.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-01-24,1401-11-04,18660.0,18990.0,18510.0,18890.0,18700.0,12033816.0,225090973090.0,1459.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-01-25,1401-11-05,18550.0,18890.0,18360.0,18490.0,18440.0,15532564.0,286382349030.0,1622.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-01-28,1401-11-08,18480.0,18590.0,18410.0,18490.0,18470.0,9079282.0,167700268700.0,1365.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-01-29,1401-11-09,18430.0,18440.0,17690.0,18000.0,17900.0,17997373.0,322185434760.0,2070.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-01-30,1401-11-10,17820.0,18040.0,17810.0,17820.0,17860.0,18296526.0,326866087450.0,2011.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-01-31,1401-11-11,17830.0,18440.0,17830.0,18440.0,18100.0,12741632.0,230686820390.0,1393.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-01,1401-11-12,18430.0,18430.0,18000.0,18150.0,18150.0,7941291.0,144162689170.0,947.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-04,1401-11-12,18430.0,18430.0,18000.0,18150.0,18150.0,7941291.0,144162689170.0,947.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-05,1401-11-16,18020.0,18250.0,17830.0,18020.0,18020.0,15855695.0,285667381370.0,1346.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-06,1401-11-17,17690.0,18050.0,17690.0,18050.0,17990.0,7931863.0,142701531520.0,953.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-07,1401-11-18,18000.0,18250.0,17970.0,18140.0,18100.0,7083460.0,128175907350.0,962.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-08,1401-11-19,18110.0,18150.0,17910.0,18000.0,17990.0,25525171.0,459103406700.0,1501.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-11,1401-11-19,18110.0,18150.0,17910.0,18000.0,17990.0,25525171.0,459103406700.0,1501.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-12,1401-11-23,17950.0,17990.0,17740.0,17980.0,17820.0,21437949.0,382009851100.0,1473.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-13,1401-11-24,17730.0,17960.0,17710.0,17760.0,17780.0,7008078.0,124608918470.0,964.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-14,1401-11-25,17700.0,17860.0,17680.0,17690.0,17730.0,11463153.0,203280342630.0,1301.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-15,1401-11-26,17660.0,17690.0,17420.0,17460.0,17520.0,8195198.0,143541382650.0,1134.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-18,1401-11-26,17660.0,17690.0,17420.0,17460.0,17520.0,8195198.0,143541382650.0,1134.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-19,1401-11-30,17380.0,17670.0,17250.0,17540.0,17460.0,18662716.0,325872675600.0,1841.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-20,1401-12-01,17580.0,18680.0,17580.0,18680.0,18650.0,62367216.0,1163003110170.0,3292.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-21,1401-12-02,19010.0,19950.0,18910.0,19700.0,19730.0,53955712.0,1064294104700.0,4160.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-22,1401-12-03,19730.0,20050.0,19370.0,20000.0,19720.0,37811109.0,745631292840.0,3207.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-25,1401-12-06,20280.0,21100.0,20280.0,21100.0,21090.0,52130490.0,1099567439860.0,3205.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-26,1401-12-07,22560.0,22560.0,21780.0,22060.0,22330.0,80859029.0,1805659334130.0,6412.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-27,1401-12-08,22020.0,23160.0,21510.0,22530.0,22450.0,37996704.0,853213319630.0,3756.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-02-28,1401-12-09,22450.0,22660.0,22150.0,22470.0,22380.0,41404226.0,926476815440.0,3353.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-01,1401-12-10,22100.0,22330.0,21470.0,21840.0,21850.0,37767011.0,825359107400.0,3366.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-05,1401-12-14,21800.0,22650.0,21800.0,22350.0,22390.0,10410862.0,233102585410.0,1617.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-06,1401-12-15,22350.0,22790.0,21940.0,22620.0,22530.0,15646128.0,352459147160.0,1708.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-07,1401-12-16,22620.0,23000.0,22450.0,22830.0,22690.0,17779281.0,403359766660.0,2826.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-08,1401-12-16,22620.0,23000.0,22450.0,22830.0,22690.0,17779281.0,403359766660.0,2826.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-12,1401-12-21,22500.0,22980.0,22290.0,22360.0,22390.0,18816552.0,421363684060.0,2008.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-13,1401-12-22,22360.0,22500.0,22230.0,22300.0,22340.0,16194250.0,361740878450.0,2109.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-14,1401-12-23,22590.0,22590.0,22250.0,22340.0,22340.0,12521954.0,279741660380.0,2506.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-15,1401-12-24,22500.0,23890.0,22500.0,23880.0,23410.0,34101434.0,798457959870.0,3311.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-19,1401-12-28,25900.0,26490.0,24900.0,25650.0,25400.0,26473465.0,672503729640.0,3127.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-20,1401-12-28,25900.0,26490.0,24900.0,25650.0,25400.0,26473465.0,672503729640.0,3127.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-21,1401-12-28,25900.0,26490.0,24900.0,25650.0,25400.0,26473465.0,672503729640.0,3127.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-22,1401-12-28,25900.0,26490.0,24900.0,25650.0,25400.0,26473465.0,672503729640.0,3127.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
2023-03-25,1402-01-05,25660.0,25660.0,24530.0,24750.0,24820.0,13002564.0,322782907760.0,3021.0,وغدیر,سرمایه گذاری غدیر(هلدینگ,بورس
