Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,1462.0,1515.0,1452.0,1478.0,1484.0,32831412.0,48706240913.0,1133.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-06,1401-03-16,1492.0,1492.0,1395.0,1395.0,1412.0,56712280.0,80067195780.0,1642.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-07,1401-03-17,1390.0,1465.0,1381.0,1426.0,1423.0,33327234.0,47430317812.0,1130.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-08,1401-03-18,1445.0,1453.0,1408.0,1424.0,1433.0,23119588.0,33124711904.0,744.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-11,1401-03-21,1438.0,1438.0,1373.0,1375.0,1395.0,22206598.0,30982238708.0,1042.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-12,1401-03-22,1392.0,1418.0,1359.0,1404.0,1394.0,34874315.0,48606213260.0,1154.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-13,1401-03-23,1401.0,1477.0,1401.0,1477.0,1452.0,61701971.0,89589554375.0,1307.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-14,1401-03-24,1505.0,1539.0,1468.0,1500.0,1525.0,127046756.0,193692065238.0,2679.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-15,1401-03-25,1519.0,1519.0,1451.0,1478.0,1481.0,22734161.0,33670012900.0,1019.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-18,1401-03-28,1522.0,1569.0,1500.0,1569.0,1559.0,108324358.0,168828612158.0,1707.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-19,1401-03-29,1610.0,1652.0,1571.0,1623.0,1636.0,154132628.0,252126735271.0,3367.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-20,1401-03-30,1649.0,1649.0,1553.0,1570.0,1588.0,50932191.0,80859270890.0,1683.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-21,1401-03-31,1550.0,1650.0,1550.0,1630.0,1614.0,54547197.0,88027997307.0,1778.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-22,1401-04-01,1630.0,1641.0,1573.0,1590.0,1603.0,37635859.0,60344179523.0,1221.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-25,1401-04-04,1590.0,1678.0,1590.0,1600.0,1627.0,51812006.0,84295073034.0,1461.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-26,1401-04-05,1627.0,1630.0,1536.0,1561.0,1578.0,39163521.0,61812305755.0,1018.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-27,1401-04-06,1543.0,1583.0,1525.0,1529.0,1543.0,40267792.0,62122993730.0,1172.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-28,1401-04-07,1555.0,1579.0,1535.0,1552.0,1553.0,25466929.0,39541129418.0,761.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-06-29,1401-04-08,1576.0,1615.0,1530.0,1589.0,1574.0,26059292.0,41010791476.0,844.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-02,1401-04-11,1543.0,1573.0,1484.0,1500.0,1513.0,39602664.0,59915585423.0,970.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-03,1401-04-12,1499.0,1546.0,1490.0,1505.0,1517.0,26449096.0,40110890059.0,854.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-04,1401-04-13,1509.0,1559.0,1500.0,1518.0,1518.0,45679212.0,69321990905.0,1225.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-05,1401-04-13,1509.0,1559.0,1500.0,1518.0,1518.0,45679212.0,69321990905.0,1225.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-06,1401-04-13,1509.0,1559.0,1500.0,1518.0,1518.0,45679212.0,69321990905.0,1225.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-09,1401-04-13,1509.0,1559.0,1500.0,1518.0,1518.0,45679212.0,69321990905.0,1225.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-11,1401-04-13,1509.0,1559.0,1500.0,1518.0,1518.0,45679212.0,69321990905.0,1225.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-12,1401-04-13,1509.0,1559.0,1500.0,1518.0,1518.0,45679212.0,69321990905.0,1225.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-13,1401-04-22,1380.0,1380.0,1338.0,1352.0,1365.0,40258109.0,54969008455.0,827.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-16,1401-04-25,1324.0,1358.0,1308.0,1321.0,1330.0,23704101.0,31516764550.0,859.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-17,1401-04-26,1314.0,1370.0,1297.0,1300.0,1319.0,35263657.0,46525802226.0,954.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-19,1401-04-28,1305.0,1338.0,1279.0,1286.0,1301.0,43131148.0,56123604507.0,1117.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-20,1401-04-29,1301.0,1350.0,1288.0,1340.0,1324.0,26567062.0,35176028149.0,862.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-23,1401-05-01,1346.0,1366.0,1301.0,1307.0,1335.0,38302333.0,51137747260.0,1032.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-24,1401-05-02,1301.0,1329.0,1260.0,1264.0,1284.0,34530902.0,44345416373.0,1020.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-25,1401-05-03,1266.0,1278.0,1207.0,1220.0,1213.0,50800766.0,61640133104.0,1271.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-26,1401-05-04,1243.0,1260.0,1212.0,1241.0,1232.0,25077076.0,30894880241.0,703.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-27,1401-05-05,1216.0,1259.0,1216.0,1250.0,1243.0,14325214.0,17807726554.0,530.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-30,1401-05-08,1240.0,1257.0,1181.0,1210.0,1209.0,33541092.0,40554091894.0,827.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-07-31,1401-05-09,1192.0,1217.0,1150.0,1181.0,1170.0,61145386.0,71543304628.0,1080.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-01,1401-05-10,1190.0,1218.0,1177.0,1180.0,1189.0,33950524.0,40382789402.0,698.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-02,1401-05-11,1165.0,1230.0,1165.0,1221.0,1195.0,21797758.0,26052461196.0,636.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-03,1401-05-12,1205.0,1260.0,1205.0,1240.0,1245.0,24941778.0,31062413112.0,684.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-06,1401-05-15,1257.0,1319.0,1256.0,1319.0,1306.0,45521364.0,59464800695.0,1101.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-09,1401-05-15,1257.0,1319.0,1256.0,1319.0,1306.0,45521364.0,59464800695.0,1101.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-10,1401-05-19,1291.0,1291.0,1238.0,1280.0,1263.0,21117361.0,26676037071.0,619.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-13,1401-05-22,1274.0,1338.0,1274.0,1338.0,1336.0,14867872.0,19862272918.0,324.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-14,1401-05-23,1399.0,1399.0,1302.0,1320.0,1339.0,55714730.0,74600944071.0,1340.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-15,1401-05-24,1310.0,1391.0,1301.0,1366.0,1358.0,54440917.0,73933513833.0,1303.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-16,1401-05-25,1415.0,1439.0,1370.0,1381.0,1417.0,141200333.0,200111533722.0,2183.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-17,1401-05-26,1401.0,1445.0,1370.0,1416.0,1406.0,75383324.0,106002617545.0,1697.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-20,1401-05-29,1386.0,1399.0,1351.0,1353.0,1369.0,32767912.0,44844671102.0,885.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-21,1401-05-30,1355.0,1393.0,1342.0,1361.0,1359.0,21941639.0,29818326436.0,623.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-22,1401-05-31,1361.0,1400.0,1341.0,1345.0,1363.0,26139511.0,35630994794.0,674.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-23,1401-06-01,1415.0,1444.0,1400.0,1444.0,1437.0,54048024.0,77669276576.0,644.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-24,1401-06-02,1448.0,1523.0,1444.0,1523.0,1496.0,62213644.0,93047436377.0,1143.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-27,1401-06-05,1565.0,1585.0,1502.0,1519.0,1566.0,134024210.0,209831331175.0,2584.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-28,1401-06-06,1511.0,1550.0,1473.0,1473.0,1487.0,85984020.0,127832980434.0,2023.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-29,1401-06-06,1511.0,1550.0,1473.0,1473.0,1487.0,85984020.0,127832980434.0,2023.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-30,1401-06-06,1511.0,1550.0,1473.0,1473.0,1487.0,85984020.0,127832980434.0,2023.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-08-31,1401-06-09,1460.0,1510.0,1439.0,1501.0,1474.0,22522121.0,33193270285.0,653.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-03,1401-06-12,1470.0,1470.0,1371.0,1405.0,1392.0,53738602.0,74802621816.0,1446.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-04,1401-06-13,1420.0,1430.0,1377.0,1401.0,1407.0,25474252.0,35840013458.0,984.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-05,1401-06-14,1427.0,1427.0,1389.0,1392.0,1401.0,21443440.0,30045660007.0,711.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-06,1401-06-15,1374.0,1424.0,1374.0,1400.0,1394.0,27030695.0,37684694315.0,837.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-07,1401-06-16,1405.0,1415.0,1350.0,1382.0,1372.0,40466700.0,55503641776.0,926.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-10,1401-06-19,1369.0,1379.0,1300.0,1312.0,1323.0,30822253.0,40791664064.0,957.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-11,1401-06-20,1302.0,1340.0,1290.0,1292.0,1299.0,18931988.0,24598313612.0,622.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-12,1401-06-21,1291.0,1325.0,1288.0,1318.0,1304.0,22053947.0,28766821074.0,673.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-13,1401-06-22,1340.0,1355.0,1300.0,1318.0,1323.0,31816756.0,42104939769.0,877.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-14,1401-06-23,1306.0,1339.0,1300.0,1310.0,1315.0,27359320.0,35985625780.0,752.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-18,1401-06-27,1294.0,1327.0,1280.0,1289.0,1290.0,23907315.0,30840458119.0,592.0,ولساپا,لیزینگ رایان سایپا,بورس
2022-09-19,1401-06-28,1278.0,1325.0,1278.0,1299.0,1305.0,27196741.0,35484255616.0,720.0,ولساپا,لیزینگ رایان سایپا,بورس
