J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,5300.0,5350.0,5070.0,5120.0,5210.0,44393899.0,231071371300.0,4340.0,ومعادن,توسعه معادن وفلزات,بورس
2023-01-22,1401-11-02,5100.0,5250.0,5100.0,5230.0,5170.0,32359929.0,167164695490.0,2663.0,ومعادن,توسعه معادن وفلزات,بورس
2023-01-23,1401-11-03,5260.0,5320.0,5090.0,5130.0,5160.0,29388232.0,151754193510.0,2248.0,ومعادن,توسعه معادن وفلزات,بورس
2023-01-24,1401-11-04,5190.0,5190.0,5060.0,5100.0,5130.0,15990588.0,81911213040.0,1822.0,ومعادن,توسعه معادن وفلزات,بورس
2023-01-25,1401-11-05,5090.0,5140.0,4920.0,4950.0,4990.0,36935814.0,184130137440.0,2817.0,ومعادن,توسعه معادن وفلزات,بورس
2023-01-28,1401-11-08,4999.0,5090.0,4919.0,4927.0,4963.0,22837407.0,113317773665.0,1961.0,ومعادن,توسعه معادن وفلزات,بورس
2023-01-29,1401-11-09,4871.0,4873.0,4616.0,4655.0,4668.0,32161721.0,150143695236.0,2190.0,ومعادن,توسعه معادن وفلزات,بورس
2023-01-30,1401-11-10,4620.0,4790.0,4592.0,4663.0,4652.0,21260373.0,98867334767.0,1819.0,ومعادن,توسعه معادن وفلزات,بورس
2023-01-31,1401-11-11,4739.0,4790.0,4647.0,4675.0,4668.0,10736044.0,50333157472.0,983.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-01,1401-11-12,4676.0,4750.0,4650.0,4716.0,4689.0,17849040.0,83826595349.0,1216.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-04,1401-11-12,4676.0,4750.0,4650.0,4716.0,4689.0,17849040.0,83826595349.0,1216.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-05,1401-11-16,4720.0,4750.0,4591.0,4600.0,4674.0,10935044.0,50900259387.0,1322.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-06,1401-11-17,4600.0,4672.0,4513.0,4597.0,4647.0,7519966.0,34445179814.0,957.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-07,1401-11-18,4647.0,4770.0,4570.0,4735.0,4695.0,14904192.0,70475632988.0,991.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-08,1401-11-19,4760.0,4890.0,4680.0,4705.0,4715.0,12142044.0,57526008157.0,882.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-11,1401-11-19,4760.0,4890.0,4680.0,4705.0,4715.0,12142044.0,57526008157.0,882.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-12,1401-11-23,4720.0,4720.0,4680.0,4706.0,4709.0,10424406.0,48997866005.0,859.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-13,1401-11-24,4671.0,4790.0,4640.0,4690.0,4705.0,6899452.0,32394026857.0,845.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-14,1401-11-25,4700.0,4776.0,4640.0,4667.0,4700.0,6443671.0,30201373617.0,699.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-15,1401-11-26,4600.0,4691.0,4561.0,4642.0,4674.0,15490641.0,72151362382.0,918.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-18,1401-11-26,4600.0,4691.0,4561.0,4642.0,4674.0,15490641.0,72151362382.0,918.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-19,1401-11-30,4640.0,4800.0,4640.0,4743.0,4688.0,9065259.0,42741518314.0,843.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-20,1401-12-01,4803.0,5016.0,4803.0,5016.0,5006.0,42726017.0,213886242422.0,1050.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-21,1401-12-02,5350.0,5356.0,5250.0,5262.0,5341.0,90861329.0,485284823874.0,2633.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-22,1401-12-03,5400.0,5450.0,5160.0,5410.0,5335.0,28051492.0,149645166260.0,2034.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-25,1401-12-06,5700.0,5700.0,5680.0,5700.0,5700.0,77552493.0,442044770100.0,1255.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-26,1401-12-07,6000.0,6090.0,5740.0,5800.0,5940.0,257420895.0,1529739157660.0,9531.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-27,1401-12-08,5670.0,6020.0,5630.0,5900.0,5830.0,152428024.0,888119434360.0,6498.0,ومعادن,توسعه معادن وفلزات,بورس
2023-02-28,1401-12-09,5930.0,6020.0,5810.0,5900.0,5940.0,88743616.0,527509676930.0,4016.0,ومعادن,توسعه معادن وفلزات,بورس
