J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,2879.0,2879.0,2635.0,2635.0,2678.0,25937201.0,69460074624.0,1117.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-01-22,1401-11-02,2600.0,2715.0,2550.0,2667.0,2631.0,23336454.0,61408196201.0,907.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-01-23,1401-11-03,2635.0,2748.0,2501.0,2588.0,2629.0,15094906.0,39684251854.0,853.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-01-24,1401-11-03,2635.0,2748.0,2501.0,2588.0,2629.0,15094906.0,39684251854.0,853.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-01-25,1401-11-03,2635.0,2748.0,2501.0,2588.0,2629.0,15094906.0,39684251854.0,853.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-01-28,1401-11-08,2450.0,2543.0,2445.0,2445.0,2454.0,12914210.0,31686353781.0,389.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-01-29,1401-11-09,2302.0,2389.0,2283.0,2283.0,2292.0,14751643.0,33807683111.0,329.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-01-30,1401-11-10,2170.0,2360.0,2132.0,2248.0,2191.0,23149354.0,50709806740.0,941.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-01-31,1401-11-11,2232.0,2296.0,2210.0,2256.0,2243.0,9601330.0,21538552502.0,480.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-01,1401-11-12,2220.0,2285.0,2220.0,2263.0,2256.0,5653098.0,12755238686.0,378.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-04,1401-11-12,2220.0,2285.0,2220.0,2263.0,2256.0,5653098.0,12755238686.0,378.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-05,1401-11-16,2210.0,2253.0,2099.0,2099.0,2142.0,13131883.0,28122297096.0,581.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-06,1401-11-17,2032.0,2200.0,2032.0,2169.0,2148.0,13065703.0,28068198650.0,610.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-07,1401-11-18,2113.0,2290.0,2113.0,2256.0,2231.0,9185332.0,20495091901.0,410.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-08,1401-11-19,2238.0,2349.0,2201.0,2250.0,2260.0,9270926.0,20948946244.0,618.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-11,1401-11-19,2238.0,2349.0,2201.0,2250.0,2260.0,9270926.0,20948946244.0,618.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-12,1401-11-23,2211.0,2328.0,2184.0,2200.0,2231.0,6480476.0,14455687125.0,487.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-13,1401-11-24,2160.0,2275.0,2160.0,2193.0,2216.0,7098512.0,15727577551.0,419.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-14,1401-11-25,2200.0,2200.0,2110.0,2140.0,2153.0,8452733.0,18194626730.0,409.0,ونیرو,سرمایه گذاری نیرو,بورس
2023-02-15,1401-11-26,2112.0,2164.0,2080.0,2114.0,2101.0,7336138.0,15410794439.0,364.0,ونیرو,سرمایه گذاری نیرو,بورس
