Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,6000.0,6000.0,5640.0,5730.0,5770.0,5477649.0,31613833670.0,815.0,پکویر,کویر تایر,بورس
2023-01-22,1401-11-02,5640.0,6110.0,5640.0,6050.0,5940.0,7188703.0,42670081540.0,738.0,پکویر,کویر تایر,بورس
2023-01-23,1401-11-03,6070.0,6170.0,5730.0,6000.0,5950.0,6444985.0,38377264460.0,693.0,پکویر,کویر تایر,بورس
2023-01-24,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-01-25,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-01-28,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-01-29,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-01-30,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-01-31,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-02-01,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-02-04,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-02-05,1401-11-04,6110.0,6110.0,5540.0,5560.0,5640.0,8324142.0,46984152820.0,1322.0,پکویر,کویر تایر,بورس
2023-02-06,1401-11-17,3808.0,3920.0,3804.0,3843.0,3831.0,7437028.0,28487580124.0,729.0,پکویر,کویر تایر,بورس
2023-02-07,1401-11-18,3954.0,4000.0,3821.0,3921.0,3925.0,7184046.0,28197277617.0,523.0,پکویر,کویر تایر,بورس
2023-02-08,1401-11-19,3980.0,3980.0,3860.0,3922.0,3914.0,5530346.0,21643350993.0,373.0,پکویر,کویر تایر,بورس
2023-02-11,1401-11-19,3980.0,3980.0,3860.0,3922.0,3914.0,5530346.0,21643350993.0,373.0,پکویر,کویر تایر,بورس
2023-02-12,1401-11-23,3980.0,3980.0,3820.0,3850.0,3880.0,1866699.0,7175509000.0,258.0,پکویر,کویر تایر,بورس
2023-02-13,1401-11-24,3850.0,3870.0,3756.0,3790.0,3818.0,2797431.0,10616497966.0,389.0,پکویر,کویر تایر,بورس
2023-02-14,1401-11-25,3820.0,3840.0,3641.0,3670.0,3754.0,6091303.0,22865262839.0,641.0,پکویر,کویر تایر,بورس
2023-02-15,1401-11-26,3660.0,3740.0,3520.0,3534.0,3580.0,6572813.0,23529201769.0,828.0,پکویر,کویر تایر,بورس
2023-02-18,1401-11-26,3660.0,3740.0,3520.0,3534.0,3580.0,6572813.0,23529201769.0,828.0,پکویر,کویر تایر,بورس
2023-02-19,1401-11-30,3594.0,3655.0,3433.0,3500.0,3539.0,6678093.0,23636381895.0,587.0,پکویر,کویر تایر,بورس
