Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,2640.0,2704.0,2460.0,2465.0,2532.0,34803943.0,88130750585.0,2362.0,چدن,تولیدی چدن سازان,بورس
2023-01-22,1401-11-02,2460.0,2617.0,2400.0,2480.0,2508.0,19657771.0,49304961572.0,919.0,چدن,تولیدی چدن سازان,بورس
2023-01-23,1401-11-03,2512.0,2578.0,2383.0,2405.0,2463.0,19657358.0,48415170288.0,926.0,چدن,تولیدی چدن سازان,بورس
2023-01-24,1401-11-04,2425.0,2530.0,2400.0,2514.0,2481.0,17048270.0,42296470796.0,1048.0,چدن,تولیدی چدن سازان,بورس
2023-01-25,1401-11-05,2500.0,2500.0,2308.0,2308.0,2336.0,47173749.0,110200539788.0,2756.0,چدن,تولیدی چدن سازان,بورس
2023-01-28,1401-11-08,2351.0,2351.0,2222.0,2240.0,2249.0,17403862.0,39134690969.0,756.0,چدن,تولیدی چدن سازان,بورس
2023-01-29,1401-11-09,2247.0,2340.0,2092.0,2112.0,2123.0,32508037.0,69028690629.0,1044.0,چدن,تولیدی چدن سازان,بورس
2023-01-30,1401-11-10,2121.0,2198.0,2067.0,2156.0,2119.0,13255148.0,28092710355.0,664.0,چدن,تولیدی چدن سازان,بورس
2023-01-31,1401-11-11,2202.0,2202.0,2082.0,2130.0,2133.0,9404577.0,20055416771.0,525.0,چدن,تولیدی چدن سازان,بورس
2023-02-01,1401-11-12,2100.0,2177.0,2100.0,2141.0,2147.0,10553878.0,22662097438.0,395.0,چدن,تولیدی چدن سازان,بورس
2023-02-04,1401-11-12,2100.0,2177.0,2100.0,2141.0,2147.0,10553878.0,22662097438.0,395.0,چدن,تولیدی چدن سازان,بورس
2023-02-05,1401-11-16,2179.0,2179.0,2025.0,2026.0,2091.0,14542370.0,30405076679.0,563.0,چدن,تولیدی چدن سازان,بورس
2023-02-06,1401-11-17,2014.0,2118.0,2013.0,2090.0,2079.0,14110394.0,29331734484.0,437.0,چدن,تولیدی چدن سازان,بورس
2023-02-07,1401-11-18,2080.0,2160.0,2080.0,2140.0,2129.0,7317053.0,15577518489.0,358.0,چدن,تولیدی چدن سازان,بورس
2023-02-08,1401-11-19,2208.0,2208.0,2127.0,2134.0,2151.0,21895224.0,47091846826.0,500.0,چدن,تولیدی چدن سازان,بورس
