Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,8870.0,9510.0,8870.0,9480.0,9390.0,106609900.0,1000660362440.0,7710.0,کاما,باما,بورس
2023-01-22,1401-11-01,8870.0,9510.0,8870.0,9480.0,9390.0,106609900.0,1000660362440.0,7710.0,کاما,باما,بورس
2023-01-23,1401-11-01,8870.0,9510.0,8870.0,9480.0,9390.0,106609900.0,1000660362440.0,7710.0,کاما,باما,بورس
2023-01-24,1401-11-01,8870.0,9510.0,8870.0,9480.0,9390.0,106609900.0,1000660362440.0,7710.0,کاما,باما,بورس
2023-01-25,1401-11-05,8900.0,9000.0,8740.0,8740.0,8800.0,18722831.0,164812669430.0,1491.0,کاما,باما,بورس
2023-01-28,1401-11-08,8210.0,8500.0,8190.0,8190.0,8230.0,21548518.0,177380428290.0,1425.0,کاما,باما,بورس
2023-01-29,1401-11-09,7660.0,7880.0,7660.0,7700.0,7680.0,103853984.0,797092161100.0,5128.0,کاما,باما,بورس
2023-01-30,1401-11-10,7560.0,7980.0,7150.0,7600.0,7460.0,90007441.0,671405716750.0,6436.0,کاما,باما,بورس
2023-01-31,1401-11-11,7620.0,7980.0,7620.0,7980.0,7920.0,63612900.0,503845470580.0,5053.0,کاما,باما,بورس
2023-02-01,1401-11-12,8350.0,8350.0,7770.0,8050.0,8080.0,31937186.0,257935908000.0,3452.0,کاما,باما,بورس
2023-02-04,1401-11-12,8350.0,8350.0,7770.0,8050.0,8080.0,31937186.0,257935908000.0,3452.0,کاما,باما,بورس
2023-02-05,1401-11-16,8100.0,8100.0,7520.0,7520.0,7660.0,20946540.0,160359156730.0,2596.0,کاما,باما,بورس
2023-02-06,1401-11-17,7190.0,7630.0,7130.0,7420.0,7360.0,31719724.0,233324440780.0,3396.0,کاما,باما,بورس
2023-02-07,1401-11-18,7450.0,7870.0,7450.0,7710.0,7760.0,23133559.0,179455248600.0,2244.0,کاما,باما,بورس
2023-02-08,1401-11-19,7870.0,7990.0,7590.0,7620.0,7760.0,26248698.0,203659857220.0,2684.0,کاما,باما,بورس
2023-02-11,1401-11-19,7870.0,7990.0,7590.0,7620.0,7760.0,26248698.0,203659857220.0,2684.0,کاما,باما,بورس
2023-02-12,1401-11-23,7570.0,7640.0,7310.0,7470.0,7420.0,21140051.0,156757007940.0,2540.0,کاما,باما,بورس
2023-02-13,1401-11-24,7500.0,7600.0,7350.0,7410.0,7450.0,17719847.0,132027103010.0,2056.0,کاما,باما,بورس
2023-02-14,1401-11-25,7340.0,7500.0,7010.0,7030.0,7230.0,19684973.0,142358102390.0,2061.0,کاما,باما,بورس
2023-02-15,1401-11-26,7060.0,7170.0,6750.0,6790.0,6880.0,26357742.0,181363012130.0,3298.0,کاما,باما,بورس
2023-02-18,1401-11-26,7060.0,7170.0,6750.0,6790.0,6880.0,26357742.0,181363012130.0,3298.0,کاما,باما,بورس
2023-02-19,1401-11-30,6960.0,7240.0,6790.0,6880.0,6960.0,28372525.0,197560569290.0,2192.0,کاما,باما,بورس
2023-02-20,1401-12-01,7100.0,7440.0,7100.0,7440.0,7410.0,18102747.0,134155622370.0,935.0,کاما,باما,بورس
2023-02-21,1401-12-02,7920.0,7920.0,7660.0,7920.0,7900.0,70914334.0,560468183570.0,3077.0,کاما,باما,بورس
2023-02-22,1401-12-03,8000.0,8240.0,7550.0,7930.0,7930.0,51747519.0,410326458150.0,4047.0,کاما,باما,بورس
2023-02-25,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-02-26,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-02-27,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-02-28,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-03-01,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-03-05,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-03-06,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-03-07,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-03-08,1401-12-06,8300.0,8480.0,8290.0,8480.0,8460.0,125962830.0,1065442355530.0,6054.0,کاما,باما,بورس
2023-03-12,1401-12-21,4199.0,4199.0,4199.0,4199.0,4211.0,4960863.0,20830663737.0,200.0,کاما,باما,بورس
2023-03-13,1401-12-22,4283.0,4505.0,4200.0,4411.0,4445.0,249167688.0,1107591366884.0,8106.0,کاما,باما,بورس
2023-03-14,1401-12-23,4419.0,4428.0,4200.0,4310.0,4285.0,75672236.0,324233569610.0,5422.0,کاما,باما,بورس
2023-03-15,1401-12-24,4320.0,4383.0,4220.0,4370.0,4308.0,155042281.0,667959749857.0,7926.0,کاما,باما,بورس
2023-03-19,1401-12-28,4600.0,4600.0,4380.0,4422.0,4477.0,106585477.0,477225327840.0,5269.0,کاما,باما,بورس
2023-03-20,1401-12-28,4600.0,4600.0,4380.0,4422.0,4477.0,106585477.0,477225327840.0,5269.0,کاما,باما,بورس
2023-03-21,1401-12-28,4600.0,4600.0,4380.0,4422.0,4477.0,106585477.0,477225327840.0,5269.0,کاما,باما,بورس
2023-03-22,1401-12-28,4600.0,4600.0,4380.0,4422.0,4477.0,106585477.0,477225327840.0,5269.0,کاما,باما,بورس
2023-03-25,1402-01-05,4571.0,4755.0,4571.0,4700.0,4666.0,76901274.0,358784593186.0,3952.0,کاما,باما,بورس
2023-03-26,1402-01-06,4700.0,4780.0,4450.0,4506.0,4613.0,81848141.0,377586110159.0,5604.0,کاما,باما,بورس
2023-03-27,1402-01-07,4505.0,4742.0,4410.0,4610.0,4593.0,69803986.0,320603898855.0,4955.0,کاما,باما,بورس
2023-03-28,1402-01-08,4740.0,4840.0,4620.0,4683.0,4704.0,49605669.0,233368890460.0,3832.0,کاما,باما,بورس
2023-03-29,1402-01-09,4745.0,4748.0,4574.0,4717.0,4670.0,92648821.0,432696351695.0,6149.0,کاما,باما,بورس
2023-04-01,1402-01-09,4745.0,4748.0,4574.0,4717.0,4670.0,92648821.0,432696351695.0,6149.0,کاما,باما,بورس
2023-04-02,1402-01-09,4745.0,4748.0,4574.0,4717.0,4670.0,92648821.0,432696351695.0,6149.0,کاما,باما,بورس
2023-04-03,1402-01-14,4740.0,4740.0,4464.0,4686.0,4655.0,79549611.0,370295237870.0,5372.0,کاما,باما,بورس
2023-04-04,1402-01-15,4670.0,4970.0,4670.0,4780.0,4784.0,91372332.0,437147402616.0,5904.0,کاما,باما,بورس
2023-04-05,1402-01-16,4760.0,5118.0,4650.0,5118.0,5039.0,86942994.0,438118215196.0,3423.0,کاما,باما,بورس
2023-04-09,1402-01-20,5760.0,5760.0,5490.0,5760.0,5730.0,394532271.0,2261635291820.0,12400.0,کاما,باما,بورس
2023-04-10,1402-01-21,5980.0,5990.0,5330.0,5460.0,5610.0,219937091.0,1233300811460.0,13441.0,کاما,باما,بورس
2023-04-11,1402-01-22,5450.0,6000.0,5260.0,6000.0,5760.0,229128737.0,1320209377460.0,9543.0,کاما,باما,بورس
2023-04-12,1402-01-22,5450.0,6000.0,5260.0,6000.0,5760.0,229128737.0,1320209377460.0,9543.0,کاما,باما,بورس
2023-04-15,1402-01-26,6160.0,6160.0,6160.0,6160.0,6160.0,22072595.0,135967185200.0,770.0,کاما,باما,بورس
2023-04-16,1402-01-27,6590.0,6590.0,6360.0,6590.0,6560.0,340447184.0,2234596470930.0,14606.0,کاما,باما,بورس
2023-04-17,1402-01-28,6590.0,7010.0,6300.0,6830.0,6810.0,202705895.0,1379916524050.0,13950.0,کاما,باما,بورس
2023-04-18,1402-01-29,6900.0,7200.0,6810.0,7040.0,7020.0,11168704.0,78387835750.0,1053.0,کاما,باما,بورس
2023-04-19,1402-01-29,6900.0,7200.0,6810.0,7040.0,7020.0,11168704.0,78387835750.0,1053.0,کاما,باما,بورس
2023-04-22,1402-01-29,6900.0,7200.0,6810.0,7040.0,7020.0,11168704.0,78387835750.0,1053.0,کاما,باما,بورس
2023-04-24,1402-01-29,6900.0,7200.0,6810.0,7040.0,7020.0,11168704.0,78387835750.0,1053.0,کاما,باما,بورس
2023-04-25,1402-01-29,6900.0,7200.0,6810.0,7040.0,7020.0,11168704.0,78387835750.0,1053.0,کاما,باما,بورس
2023-04-26,1402-01-29,6900.0,7200.0,6810.0,7040.0,7020.0,11168704.0,78387835750.0,1053.0,کاما,باما,بورس
2023-04-29,1402-01-29,6900.0,7200.0,6810.0,7040.0,7020.0,11168704.0,78387835750.0,1053.0,کاما,باما,بورس
2023-04-30,1402-02-10,7990.0,8050.0,7750.0,7870.0,7880.0,189101797.0,1490636412510.0,12827.0,کاما,باما,بورس
2023-05-01,1402-02-11,8080.0,8080.0,7450.0,7670.0,7730.0,206388079.0,1595380167690.0,15982.0,کاما,باما,بورس
2023-05-02,1402-02-12,7790.0,8270.0,7790.0,8270.0,8170.0,59739740.0,488042154060.0,3902.0,کاما,باما,بورس
2023-05-03,1402-02-13,8450.0,8740.0,8250.0,8730.0,8670.0,134967318.0,1169895025940.0,8573.0,کاما,باما,بورس
2023-05-06,1402-02-16,8990.0,8990.0,8120.0,8290.0,8530.0,179004191.0,1527454188290.0,17981.0,کاما,باما,بورس
2023-05-07,1402-02-17,8090.0,8220.0,7940.0,7940.0,7980.0,37961713.0,302946677700.0,3320.0,کاما,باما,بورس
2023-05-08,1402-02-18,7430.0,7430.0,7430.0,7430.0,7430.0,10373200.0,77072876000.0,732.0,کاما,باما,بورس
2023-05-09,1402-02-19,6910.0,7250.0,6910.0,6970.0,6950.0,267987760.0,1863530361750.0,14990.0,کاما,باما,بورس
2023-05-10,1402-02-20,7190.0,7240.0,6470.0,6470.0,6700.0,87467649.0,585687483530.0,5785.0,کاما,باما,بورس
2023-05-13,1402-02-23,6250.0,6450.0,6240.0,6240.0,6260.0,49420192.0,309220651840.0,2438.0,کاما,باما,بورس
2023-05-14,1402-02-24,6000.0,6350.0,6000.0,6350.0,6150.0,20473731.0,125869506850.0,667.0,کاما,باما,بورس
2023-05-15,1402-02-24,6000.0,6350.0,6000.0,6350.0,6150.0,20473731.0,125869506850.0,667.0,کاما,باما,بورس
2023-05-17,1402-02-27,6580.0,6580.0,6580.0,6580.0,6580.0,22691708.0,149311438640.0,992.0,کاما,باما,بورس
2023-05-20,1402-02-30,7040.0,7040.0,6610.0,6800.0,6920.0,218265509.0,1509917887170.0,11532.0,کاما,باما,بورس
2023-05-21,1402-02-31,7250.0,7300.0,6930.0,7060.0,7090.0,63333140.0,449269329180.0,5094.0,کاما,باما,بورس
2023-05-22,1402-03-01,7090.0,7190.0,6780.0,6890.0,6940.0,93091858.0,646498022950.0,8586.0,کاما,باما,بورس
2023-05-23,1402-03-02,6850.0,7170.0,6670.0,6830.0,6930.0,87696811.0,607495981530.0,7276.0,کاما,باما,بورس
2023-05-24,1402-03-03,6920.0,6980.0,6540.0,6620.0,6680.0,101876496.0,680698664490.0,8087.0,کاما,باما,بورس
2023-05-27,1402-03-06,6680.0,6680.0,6220.0,6230.0,6260.0,158971883.0,994575582660.0,9965.0,کاما,باما,بورس
2023-05-28,1402-03-07,6070.0,6300.0,5830.0,6020.0,5870.0,137316320.0,806669552820.0,7470.0,کاما,باما,بورس
2023-05-29,1402-03-08,5940.0,6280.0,5820.0,6280.0,6170.0,131296928.0,810218292100.0,6908.0,کاما,باما,بورس
2023-05-30,1402-03-09,6310.0,6470.0,6150.0,6190.0,6270.0,69663373.0,436628958590.0,5025.0,کاما,باما,بورس
2023-05-31,1402-03-10,6150.0,6150.0,5950.0,6030.0,6030.0,64747237.0,390240404450.0,4425.0,کاما,باما,بورس
2023-06-03,1402-03-13,6010.0,6200.0,6000.0,6070.0,6060.0,47057067.0,285329637830.0,3328.0,کاما,باما,بورس
2023-06-06,1402-03-16,6070.0,6160.0,5810.0,5900.0,5930.0,85113062.0,505011594070.0,6031.0,کاما,باما,بورس
2023-06-07,1402-03-17,5930.0,6190.0,5760.0,5900.0,5980.0,63538109.0,379861192520.0,5638.0,کاما,باما,بورس
2023-06-10,1402-03-20,5790.0,5800.0,5570.0,5570.0,5580.0,56237897.0,313702538440.0,3747.0,کاما,باما,بورس
2023-06-11,1402-03-21,5310.0,5700.0,5310.0,5500.0,5490.0,52319794.0,287173220090.0,5506.0,کاما,باما,بورس
2023-06-12,1402-03-22,5110.0,5200.0,5110.0,5120.0,5110.0,61672482.0,315430084020.0,3792.0,کاما,باما,بورس
2023-06-13,1402-03-23,5100.0,5460.0,4930.0,5400.0,5250.0,100225025.0,525939244010.0,6054.0,کاما,باما,بورس
2023-06-14,1402-03-24,5520.0,5610.0,5400.0,5610.0,5590.0,101079818.0,564892669570.0,4648.0,کاما,باما,بورس
2023-06-17,1402-03-27,5790.0,5900.0,5520.0,5600.0,5750.0,64353335.0,369836848550.0,5259.0,کاما,باما,بورس
2023-06-18,1402-03-28,5600.0,5600.0,5350.0,5410.0,5390.0,62183446.0,335004516070.0,4980.0,کاما,باما,بورس
2023-06-19,1402-03-29,5440.0,5740.0,5270.0,5400.0,5540.0,45175701.0,250221683240.0,3791.0,کاما,باما,بورس
2023-06-20,1402-03-30,5420.0,5660.0,5310.0,5540.0,5530.0,34684272.0,191729086610.0,2423.0,کاما,باما,بورس
2023-06-21,1402-03-31,5700.0,5730.0,5250.0,5440.0,5460.0,73892776.0,403202270300.0,4721.0,کاما,باما,بورس
2023-06-24,1402-04-03,5430.0,5520.0,5300.0,5360.0,5400.0,33295664.0,179836809490.0,2697.0,کاما,باما,بورس
2023-06-25,1402-04-04,5470.0,5600.0,5400.0,5460.0,5510.0,39315822.0,216780160410.0,2952.0,کاما,باما,بورس
2023-06-26,1402-04-05,5560.0,5790.0,5380.0,5580.0,5600.0,44123311.0,247295356470.0,3812.0,کاما,باما,بورس
2023-06-27,1402-04-06,5600.0,5600.0,5400.0,5410.0,5480.0,39677889.0,217398596020.0,2975.0,کاما,باما,بورس
2023-06-28,1402-04-06,5600.0,5600.0,5400.0,5410.0,5480.0,39677889.0,217398596020.0,2975.0,کاما,باما,بورس
2023-07-01,1402-04-06,5600.0,5600.0,5400.0,5410.0,5480.0,39677889.0,217398596020.0,2975.0,کاما,باما,بورس
2023-07-02,1402-04-06,5600.0,5600.0,5400.0,5410.0,5480.0,39677889.0,217398596020.0,2975.0,کاما,باما,بورس
2023-07-03,1402-04-06,5600.0,5600.0,5400.0,5410.0,5480.0,39677889.0,217398596020.0,2975.0,کاما,باما,بورس
2023-07-04,1402-04-06,5600.0,5600.0,5400.0,5410.0,5480.0,39677889.0,217398596020.0,2975.0,کاما,باما,بورس
2023-07-05,1402-04-14,5590.0,5850.0,5590.0,5650.0,5680.0,26247777.0,148970207110.0,1677.0,کاما,باما,بورس
2023-07-08,1402-04-17,5660.0,5770.0,5410.0,5470.0,5540.0,51209169.0,283774335980.0,4985.0,کاما,باما,بورس
2023-07-09,1402-04-18,5400.0,5620.0,5360.0,5400.0,5440.0,39671624.0,215932595880.0,3075.0,کاما,باما,بورس
2023-07-10,1402-04-19,5240.0,5420.0,5110.0,5160.0,5200.0,39191091.0,203970411410.0,3750.0,کاما,باما,بورس
2023-07-11,1402-04-20,5200.0,5300.0,4850.0,4880.0,5010.0,49180662.0,246277660280.0,4789.0,کاما,باما,بورس
2023-07-12,1402-04-21,4970.0,4970.0,4660.0,4820.0,4720.0,76420457.0,360867589920.0,5349.0,کاما,باما,بورس
2023-07-15,1402-04-24,4810.0,5039.0,4760.0,4814.0,4885.0,42935431.0,209756339195.0,3451.0,کاما,باما,بورس
2023-07-16,1402-04-25,4837.0,4837.0,4544.0,4544.0,4579.0,52759707.0,241566812423.0,3219.0,کاما,باما,بورس
2023-07-17,1402-04-26,4262.0,4504.0,4259.0,4491.0,4311.0,57558905.0,248139977139.0,2914.0,کاما,باما,بورس
2023-07-18,1402-04-27,4559.0,4612.0,4500.0,4612.0,4609.0,78446303.0,361543036308.0,2378.0,کاما,باما,بورس
2023-07-19,1402-04-28,4781.0,4874.0,4500.0,4579.0,4714.0,90516614.0,426719122316.0,5558.0,کاما,باما,بورس
2023-07-22,1402-04-31,4410.0,4490.0,4385.0,4385.0,4389.0,37879494.0,166259598923.0,2228.0,کاما,باما,بورس
2023-07-23,1402-05-01,4120.0,4476.0,4120.0,4300.0,4326.0,46815287.0,202545570916.0,3496.0,کاما,باما,بورس
2023-07-24,1402-05-02,4326.0,4580.0,4326.0,4490.0,4472.0,37705400.0,168601671017.0,2339.0,کاما,باما,بورس
2023-07-25,1402-05-03,4460.0,4627.0,4369.0,4399.0,4482.0,34501381.0,154632743626.0,2170.0,کاما,باما,بورس
2023-07-26,1402-05-04,4459.0,4580.0,4459.0,4484.0,4502.0,18582487.0,83659519140.0,1317.0,کاما,باما,بورس
2023-07-29,1402-05-07,4470.0,4568.0,4367.0,4397.0,4450.0,29708743.0,132213544134.0,2049.0,کاما,باما,بورس
2023-07-30,1402-05-08,4331.0,4429.0,4139.0,4139.0,4174.0,61842533.0,258119407256.0,3842.0,کاما,باما,بورس
2023-07-31,1402-05-09,4220.0,4330.0,4140.0,4278.0,4255.0,28642861.0,121867215751.0,1889.0,کاما,باما,بورس
2023-08-01,1402-05-10,4396.0,4552.0,4345.0,4552.0,4533.0,57652672.0,261358717696.0,2276.0,کاما,باما,بورس
2023-08-02,1402-05-10,4396.0,4552.0,4345.0,4552.0,4533.0,57652672.0,261358717696.0,2276.0,کاما,باما,بورس
2023-08-05,1402-05-14,4650.0,4850.0,4627.0,4850.0,4800.0,86947986.0,417369986594.0,3790.0,کاما,باما,بورس
2023-08-06,1402-05-15,4910.0,4910.0,4640.0,4785.0,4795.0,53046233.0,254365591105.0,3184.0,کاما,باما,بورس
2023-08-07,1402-05-16,4750.0,4950.0,4710.0,4750.0,4848.0,32089026.0,155573840953.0,2154.0,کاما,باما,بورس
2023-08-08,1402-05-17,4712.0,4800.0,4570.0,4620.0,4659.0,30802873.0,143513499978.0,2361.0,کاما,باما,بورس
2023-08-09,1402-05-18,4720.0,4780.0,4585.0,4680.0,4639.0,23041211.0,106895304847.0,1513.0,کاما,باما,بورس
2023-08-12,1402-05-21,4498.0,4498.0,4315.0,4315.0,4333.0,21979726.0,95244760920.0,1143.0,کاما,باما,بورس
2023-08-13,1402-05-22,4200.0,4444.0,4091.0,4404.0,4276.0,48513697.0,207429416407.0,2751.0,کاما,باما,بورس
2023-08-14,1402-05-23,4479.0,4479.0,4250.0,4284.0,4349.0,31350002.0,136334728988.0,2011.0,کاما,باما,بورس
2023-08-15,1402-05-24,4285.0,4339.0,4150.0,4225.0,4215.0,30605999.0,129012607920.0,1663.0,کاما,باما,بورس
2023-08-16,1402-05-25,4200.0,4368.0,4181.0,4250.0,4242.0,22945754.0,97341133360.0,1610.0,کاما,باما,بورس
2023-08-19,1402-05-28,4300.0,4300.0,3995.0,4000.0,4095.0,50158131.0,205374797844.0,2653.0,کاما,باما,بورس
2023-08-20,1402-05-29,4073.0,4150.0,3942.0,4018.0,4032.0,36386959.0,146713675884.0,3070.0,کاما,باما,بورس
2023-08-21,1402-05-30,4093.0,4136.0,3995.0,3997.0,4046.0,33076227.0,133841309442.0,2299.0,کاما,باما,بورس
2023-08-22,1402-05-31,3990.0,4040.0,3858.0,3905.0,3914.0,26839493.0,105048330046.0,2197.0,کاما,باما,بورس
2023-08-23,1402-06-01,3914.0,4187.0,3914.0,4187.0,4159.0,51290434.0,213335810184.0,1752.0,کاما,باما,بورس
2023-08-26,1402-06-04,4400.0,4450.0,4385.0,4450.0,4440.0,41569671.0,184554528559.0,1376.0,کاما,باما,بورس
2023-08-27,1402-06-05,4720.0,4750.0,4551.0,4750.0,4743.0,130435486.0,618601000264.0,4076.0,کاما,باما,بورس
2023-08-28,1402-06-06,4850.0,5065.0,4750.0,4783.0,4886.0,86635839.0,423271778957.0,5201.0,کاما,باما,بورس
2023-08-29,1402-06-07,4800.0,5099.0,4710.0,4769.0,4873.0,70357119.0,342826160630.0,3991.0,کاما,باما,بورس
2023-08-30,1402-06-08,4742.0,5100.0,4730.0,5065.0,4972.0,78429272.0,389921677320.0,4334.0,کاما,باما,بورس
2023-09-02,1402-06-11,5090.0,5148.0,4808.0,4955.0,4987.0,56239966.0,280475466821.0,3990.0,کاما,باما,بورس
2023-09-03,1402-06-12,4990.0,5248.0,4961.0,5120.0,5115.0,58982898.0,301716287592.0,3827.0,کاما,باما,بورس
2023-09-04,1402-06-13,5140.0,5466.0,5010.0,5449.0,5322.0,74526775.0,396618998429.0,4230.0,کاما,باما,بورس
2023-09-05,1402-06-14,5471.0,5689.0,5266.0,5290.0,5456.0,77743064.0,424191991568.0,5338.0,کاما,باما,بورس
2023-09-09,1402-06-18,5350.0,5350.0,5075.0,5075.0,5097.0,88579613.0,451496290402.0,4835.0,کاما,باما,بورس
2023-09-10,1402-06-19,4980.0,5200.0,4890.0,5040.0,5080.0,65455065.0,332548670700.0,3855.0,کاما,باما,بورس
2023-09-11,1402-06-20,5080.0,5160.0,4950.0,5040.0,5070.0,34758128.0,176135003350.0,2408.0,کاما,باما,بورس
2023-09-12,1402-06-21,5110.0,5410.0,5060.0,5160.0,5250.0,57984324.0,304150012890.0,3502.0,کاما,باما,بورس
2023-09-13,1402-06-22,5200.0,5290.0,5090.0,5190.0,5170.0,33032526.0,170616086470.0,2229.0,کاما,باما,بورس
2023-09-17,1402-06-26,5280.0,5510.0,5280.0,5390.0,5420.0,43929995.0,237970424330.0,2735.0,کاما,باما,بورس
2023-09-18,1402-06-27,5440.0,5480.0,5230.0,5240.0,5360.0,32809619.0,175967468570.0,2503.0,کاما,باما,بورس
2023-09-19,1402-06-28,5210.0,5350.0,5150.0,5170.0,5230.0,26414893.0,138039542510.0,2113.0,کاما,باما,بورس
2023-09-20,1402-06-29,5180.0,5180.0,5010.0,5080.0,5090.0,39783266.0,202445521260.0,2785.0,کاما,باما,بورس
2023-09-23,1402-07-01,5160.0,5330.0,5110.0,5260.0,5240.0,36668466.0,192061636840.0,2255.0,کاما,باما,بورس
2023-09-25,1402-07-03,5310.0,5320.0,5050.0,5080.0,5120.0,29225654.0,149760269120.0,2252.0,کاما,باما,بورس
2023-09-26,1402-07-04,5100.0,5190.0,5000.0,5060.0,5070.0,30040884.0,152163722310.0,2112.0,کاما,باما,بورس
2023-09-27,1402-07-05,5100.0,5280.0,5030.0,5110.0,5120.0,30163893.0,154320289070.0,2087.0,کاما,باما,بورس
2023-09-30,1402-07-08,5280.0,5280.0,5010.0,5040.0,5110.0,37734502.0,192691575650.0,2175.0,کاما,باما,بورس
2023-10-01,1402-07-09,5070.0,5070.0,4810.0,4970.0,4920.0,44033085.0,216570785880.0,2991.0,کاما,باما,بورس
2023-10-02,1402-07-10,5000.0,5170.0,4910.0,5080.0,5060.0,35920256.0,181782549400.0,2146.0,کاما,باما,بورس
2023-10-04,1402-07-12,5100.0,5200.0,5000.0,5070.0,5080.0,24224946.0,123102941130.0,1683.0,کاما,باما,بورس
2023-10-07,1402-07-15,5100.0,5150.0,4810.0,4910.0,4910.0,33381612.0,164031322260.0,2406.0,کاما,باما,بورس
2023-10-08,1402-07-16,4860.0,5000.0,4570.0,4570.0,4620.0,42552680.0,196423520600.0,2639.0,کاما,باما,بورس
2023-10-09,1402-07-17,4440.0,4800.0,4440.0,4600.0,4610.0,50252429.0,231557232350.0,2642.0,کاما,باما,بورس
2023-10-10,1402-07-18,4610.0,4780.0,4480.0,4740.0,4660.0,32708605.0,152511866980.0,1879.0,کاما,باما,بورس
2023-10-11,1402-07-19,4800.0,4820.0,4600.0,4660.0,4680.0,21596812.0,101159639840.0,1402.0,کاما,باما,بورس
2023-10-14,1402-07-22,4600.0,4607.0,4353.0,4354.0,4393.0,47954464.0,210661297379.0,3001.0,کاما,باما,بورس
