Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2022-06-01,1401-03-11,26220.0,27690.0,26220.0,26790.0,27070.0,3612458.0,97790424940.0,901.0,کروی,توسعه معادن روی ایران,بورس
2022-06-06,1401-03-16,26790.0,27690.0,25910.0,26480.0,26490.0,1131773.0,29978410310.0,553.0,کروی,توسعه معادن روی ایران,بورس
2022-06-07,1401-03-17,25910.0,27110.0,25910.0,26700.0,26490.0,692889.0,18351655740.0,455.0,کروی,توسعه معادن روی ایران,بورس
2022-06-08,1401-03-18,26490.0,27350.0,26200.0,27140.0,26840.0,946149.0,25397279140.0,416.0,کروی,توسعه معادن روی ایران,بورس
2022-06-11,1401-03-21,27000.0,27200.0,26220.0,26500.0,26550.0,1341611.0,35614520170.0,450.0,کروی,توسعه معادن روی ایران,بورس
2022-06-12,1401-03-22,26260.0,27830.0,26260.0,27620.0,27560.0,2999243.0,82656022320.0,859.0,کروی,توسعه معادن روی ایران,بورس
2022-06-13,1401-03-23,27930.0,28930.0,26550.0,28730.0,28680.0,3512997.0,100761128720.0,1070.0,کروی,توسعه معادن روی ایران,بورس
2022-06-14,1401-03-24,28680.0,28870.0,28150.0,28600.0,28490.0,1659123.0,47261956030.0,768.0,کروی,توسعه معادن روی ایران,بورس
2022-06-15,1401-03-25,28790.0,28790.0,27600.0,27740.0,27880.0,906938.0,25252821730.0,422.0,کروی,توسعه معادن روی ایران,بورس
2022-06-18,1401-03-28,27860.0,27860.0,26210.0,26410.0,26370.0,4413398.0,116397452500.0,919.0,کروی,توسعه معادن روی ایران,بورس
2022-06-19,1401-03-29,26250.0,26900.0,26210.0,26360.0,26470.0,1376073.0,36431208370.0,647.0,کروی,توسعه معادن روی ایران,بورس
2022-06-20,1401-03-30,26630.0,27700.0,26600.0,26630.0,27120.0,1943987.0,52721638730.0,599.0,کروی,توسعه معادن روی ایران,بورس
2022-06-21,1401-03-31,27120.0,27130.0,26140.0,26600.0,26610.0,1070826.0,28494946780.0,280.0,کروی,توسعه معادن روی ایران,بورس
2022-06-22,1401-04-01,26000.0,26600.0,25910.0,26350.0,26270.0,839532.0,22008193020.0,281.0,کروی,توسعه معادن روی ایران,بورس
2022-06-25,1401-04-04,25700.0,25700.0,24900.0,25330.0,25380.0,3887547.0,98661412770.0,698.0,کروی,توسعه معادن روی ایران,بورس
2022-06-26,1401-04-05,25000.0,25710.0,24720.0,25000.0,24950.0,1791209.0,44690088580.0,409.0,کروی,توسعه معادن روی ایران,بورس
2022-06-27,1401-04-06,25320.0,26000.0,25000.0,25200.0,25270.0,576245.0,14682090120.0,238.0,کروی,توسعه معادن روی ایران,بورس
2022-06-28,1401-04-07,25050.0,25740.0,25050.0,25150.0,25370.0,499088.0,12708463980.0,249.0,کروی,توسعه معادن روی ایران,بورس
2022-06-29,1401-04-08,24650.0,25750.0,24650.0,25320.0,25160.0,1128090.0,28380195120.0,360.0,کروی,توسعه معادن روی ایران,بورس
2022-07-02,1401-04-11,24640.0,24640.0,23660.0,23660.0,23780.0,6614638.0,157302919030.0,1037.0,کروی,توسعه معادن روی ایران,بورس
2022-07-03,1401-04-12,23650.0,24350.0,23650.0,23700.0,23790.0,1139689.0,27116796150.0,364.0,کروی,توسعه معادن روی ایران,بورس
2022-07-04,1401-04-13,23800.0,23980.0,23550.0,23700.0,23710.0,1660868.0,39382216720.0,546.0,کروی,توسعه معادن روی ایران,بورس
2022-07-05,1401-04-14,24140.0,24140.0,23430.0,23510.0,23710.0,895714.0,21238231870.0,356.0,کروی,توسعه معادن روی ایران,بورس
2022-07-06,1401-04-15,23080.0,23400.0,22290.0,22590.0,22530.0,2184028.0,49201663190.0,535.0,کروی,توسعه معادن روی ایران,بورس
2022-07-09,1401-04-18,22530.0,22530.0,21350.0,21950.0,21990.0,789277.0,17262756530.0,365.0,کروی,توسعه معادن روی ایران,بورس
2022-07-11,1401-04-20,21550.0,22400.0,21450.0,21610.0,21870.0,759015.0,16570332880.0,382.0,کروی,توسعه معادن روی ایران,بورس
2022-07-12,1401-04-21,20800.0,22090.0,20800.0,21850.0,21770.0,564429.0,12246933090.0,268.0,کروی,توسعه معادن روی ایران,بورس
