J-Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,6400.0,6550.0,5990.0,5990.0,6090.0,28642457.0,174327436300.0,2052.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-01-22,1401-11-02,5810.0,6200.0,5740.0,6100.0,5950.0,21683550.0,128970130620.0,1596.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-01-23,1401-11-03,6070.0,6230.0,5780.0,5980.0,5940.0,18004733.0,107001755550.0,1485.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-01-24,1401-11-04,6010.0,6110.0,5860.0,5950.0,5960.0,10487022.0,62469645530.0,941.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-01-25,1401-11-05,5960.0,6220.0,5610.0,6140.0,5960.0,43222155.0,257566115170.0,3831.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-01-28,1401-11-08,6260.0,6370.0,5960.0,6370.0,6280.0,26485079.0,166205089320.0,1532.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-01-29,1401-11-09,6480.0,6570.0,5860.0,6400.0,6270.0,53833918.0,337342316410.0,3647.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-01-30,1401-11-10,6400.0,6670.0,6140.0,6440.0,6410.0,42100439.0,270025960430.0,2807.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-01-31,1401-11-11,6440.0,6580.0,5970.0,6100.0,6130.0,38663094.0,236883422170.0,3150.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-02-01,1401-11-12,6110.0,6110.0,5850.0,5880.0,5950.0,14378719.0,85501233310.0,1490.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-02-04,1401-11-12,6110.0,6110.0,5850.0,5880.0,5950.0,14378719.0,85501233310.0,1490.0,کسرا,سرامیک های صنعتی اردکان,بورس
2023-02-05,1401-11-16,5800.0,6000.0,5640.0,5660.0,5730.0,19036005.0,109157982790.0,1871.0,کسرا,سرامیک های صنعتی اردکان,بورس
