Date,J-Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market
2023-01-21,1401-11-01,11120.0,11720.0,11120.0,11400.0,11410.0,5695063.0,64998356860.0,882.0,کهمدا,شیشه همدان,بورس
2023-01-22,1401-11-02,11190.0,11780.0,11190.0,11510.0,11370.0,4008838.0,45572065180.0,735.0,کهمدا,شیشه همدان,بورس
2023-01-23,1401-11-03,11550.0,12160.0,11390.0,12160.0,11970.0,38020161.0,455063173740.0,2256.0,کهمدا,شیشه همدان,بورس
2023-01-24,1401-11-04,12450.0,12780.0,12200.0,12250.0,12500.0,26292545.0,328763840220.0,2317.0,کهمدا,شیشه همدان,بورس
2023-01-25,1401-11-05,12260.0,12660.0,11690.0,12400.0,12270.0,13029469.0,159926239360.0,1380.0,کهمدا,شیشه همدان,بورس
2023-01-28,1401-11-08,12270.0,12450.0,11500.0,11670.0,11910.0,6133139.0,73040968630.0,765.0,کهمدا,شیشه همدان,بورس
2023-01-29,1401-11-09,11140.0,11810.0,11080.0,11080.0,11110.0,6032244.0,67023036720.0,394.0,کهمدا,شیشه همدان,بورس
2023-01-30,1401-11-10,10410.0,11330.0,10340.0,10600.0,10650.0,16301696.0,173596983600.0,1352.0,کهمدا,شیشه همدان,بورس
2023-01-31,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-01,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-04,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-05,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-06,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-07,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-08,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-11,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-12,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-13,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-14,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-15,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-18,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-19,1401-11-11,10990.0,11200.0,10320.0,10810.0,10590.0,13295047.0,140738730370.0,1426.0,کهمدا,شیشه همدان,بورس
2023-02-20,1401-12-01,4354.0,4354.0,4354.0,4354.0,4287.0,2820406.0,12280047724.0,55.0,کهمدا,شیشه همدان,بورس
2023-02-21,1401-12-02,4587.0,4587.0,4587.0,4587.0,4587.0,3686476.0,16909865412.0,81.0,کهمدا,شیشه همدان,بورس
2023-02-22,1401-12-03,4908.0,4908.0,4908.0,4908.0,4908.0,12122171.0,59495615268.0,250.0,کهمدا,شیشه همدان,بورس
2023-02-25,1401-12-06,5251.0,5251.0,5050.0,5156.0,5208.0,70498580.0,367125317731.0,2485.0,کهمدا,شیشه همدان,بورس
2023-02-26,1401-12-07,5250.0,5470.0,4900.0,4914.0,5080.0,25137359.0,127694381380.0,2282.0,کهمدا,شیشه همدان,بورس
2023-02-27,1401-12-08,4900.0,4979.0,4780.0,4897.0,4908.0,20739753.0,101790331954.0,1672.0,کهمدا,شیشه همدان,بورس
2023-02-28,1401-12-09,4897.0,4930.0,4780.0,4871.0,4871.0,7457934.0,36325084904.0,739.0,کهمدا,شیشه همدان,بورس
2023-03-01,1401-12-10,4994.0,5189.0,4800.0,4999.0,5071.0,15271584.0,77436014207.0,1074.0,کهمدا,شیشه همدان,بورس
2023-03-05,1401-12-14,4630.0,4720.0,4530.0,4630.0,4630.0,34214273.0,158397451400.0,2210.0,کهمدا,شیشه همدان,بورس
2023-03-06,1401-12-15,4620.0,4660.0,4390.0,4630.0,4520.0,15721183.0,71067320170.0,1273.0,کهمدا,شیشه همدان,بورس
2023-03-07,1401-12-16,4680.0,4750.0,4500.0,4690.0,4630.0,12973021.0,60083884020.0,1084.0,کهمدا,شیشه همدان,بورس
2023-03-08,1401-12-16,4680.0,4750.0,4500.0,4690.0,4630.0,12973021.0,60083884020.0,1084.0,کهمدا,شیشه همدان,بورس
2023-03-12,1401-12-21,4590.0,4669.0,4500.0,4570.0,4552.0,8775102.0,39941138683.0,865.0,کهمدا,شیشه همدان,بورس
2023-03-13,1401-12-22,4550.0,4638.0,4471.0,4472.0,4506.0,7728271.0,34821683088.0,724.0,کهمدا,شیشه همدان,بورس
2023-03-14,1401-12-23,4500.0,4680.0,4430.0,4510.0,4495.0,13621220.0,61224827842.0,1128.0,کهمدا,شیشه همدان,بورس
2023-03-15,1401-12-24,4650.0,4700.0,4555.0,4690.0,4670.0,7194635.0,33597201378.0,654.0,کهمدا,شیشه همدان,بورس
2023-03-19,1401-12-28,5240.0,5240.0,4951.0,5150.0,5097.0,21296242.0,108556921293.0,1367.0,کهمدا,شیشه همدان,بورس
2023-03-20,1401-12-28,5240.0,5240.0,4951.0,5150.0,5097.0,21296242.0,108556921293.0,1367.0,کهمدا,شیشه همدان,بورس
2023-03-21,1401-12-28,5240.0,5240.0,4951.0,5150.0,5097.0,21296242.0,108556921293.0,1367.0,کهمدا,شیشه همدان,بورس
2023-03-22,1401-12-28,5240.0,5240.0,4951.0,5150.0,5097.0,21296242.0,108556921293.0,1367.0,کهمدا,شیشه همدان,بورس
2023-03-25,1402-01-05,5150.0,5200.0,4950.0,5030.0,5040.0,10359634.0,52245692450.0,993.0,کهمدا,شیشه همدان,بورس
2023-03-26,1402-01-06,5030.0,5030.0,4850.0,5000.0,4960.0,11501358.0,57012929450.0,721.0,کهمدا,شیشه همدان,بورس
2023-03-27,1402-01-07,4980.0,5300.0,4900.0,5280.0,5220.0,34259727.0,178900046000.0,1888.0,کهمدا,شیشه همدان,بورس
2023-03-28,1402-01-08,5390.0,5500.0,5290.0,5400.0,5390.0,17665994.0,95221435950.0,1458.0,کهمدا,شیشه همدان,بورس
2023-03-29,1402-01-09,5380.0,5450.0,5200.0,5380.0,5330.0,12241816.0,65251589620.0,1560.0,کهمدا,شیشه همدان,بورس
2023-04-01,1402-01-09,5380.0,5450.0,5200.0,5380.0,5330.0,12241816.0,65251589620.0,1560.0,کهمدا,شیشه همدان,بورس
2023-04-02,1402-01-09,5380.0,5450.0,5200.0,5380.0,5330.0,12241816.0,65251589620.0,1560.0,کهمدا,شیشه همدان,بورس
2023-04-03,1402-01-14,5240.0,5430.0,5050.0,5360.0,5310.0,15882068.0,84273000770.0,1359.0,کهمدا,شیشه همدان,بورس
2023-04-04,1402-01-15,5400.0,5490.0,5060.0,5170.0,5240.0,17872392.0,93603845770.0,1933.0,کهمدا,شیشه همدان,بورس
2023-04-05,1402-01-16,5240.0,5540.0,5170.0,5530.0,5460.0,18579522.0,101459289920.0,1492.0,کهمدا,شیشه همدان,بورس
2023-04-09,1402-01-20,5840.0,6100.0,5760.0,5800.0,5920.0,30290046.0,179290639470.0,1817.0,کهمدا,شیشه همدان,بورس
2023-04-10,1402-01-21,6000.0,6000.0,5510.0,5520.0,5600.0,44179342.0,247447562590.0,3365.0,کهمدا,شیشه همدان,بورس
2023-04-11,1402-01-22,5540.0,5950.0,5430.0,5850.0,5800.0,21278231.0,123378109660.0,1665.0,کهمدا,شیشه همدان,بورس
2023-04-12,1402-01-22,5540.0,5950.0,5430.0,5850.0,5800.0,21278231.0,123378109660.0,1665.0,کهمدا,شیشه همدان,بورس
2023-04-15,1402-01-26,5970.0,6180.0,5900.0,6010.0,6040.0,22138215.0,133680388110.0,1349.0,کهمدا,شیشه همدان,بورس
2023-04-16,1402-01-27,6000.0,6170.0,5960.0,6010.0,6020.0,18884826.0,113771218330.0,1402.0,کهمدا,شیشه همدان,بورس
2023-04-17,1402-01-28,6000.0,6050.0,5810.0,5930.0,5960.0,27319498.0,162801200410.0,1674.0,کهمدا,شیشه همدان,بورس
2023-04-18,1402-01-29,6000.0,6370.0,6000.0,6370.0,6330.0,83251787.0,526579103920.0,4937.0,کهمدا,شیشه همدان,بورس
2023-04-19,1402-01-30,6700.0,6700.0,6350.0,6550.0,6510.0,21590537.0,140607171340.0,2622.0,کهمدا,شیشه همدان,بورس
2023-04-22,1402-01-30,6700.0,6700.0,6350.0,6550.0,6510.0,21590537.0,140607171340.0,2622.0,کهمدا,شیشه همدان,بورس
2023-04-24,1402-02-04,6640.0,6740.0,6320.0,6570.0,6530.0,26698507.0,174338379590.0,2868.0,کهمدا,شیشه همدان,بورس
2023-04-25,1402-02-05,6690.0,6980.0,6550.0,6680.0,6760.0,28946887.0,195788061540.0,2773.0,کهمدا,شیشه همدان,بورس
2023-04-26,1402-02-06,6870.0,6950.0,6420.0,6690.0,6700.0,16098811.0,107920038660.0,2173.0,کهمدا,شیشه همدان,بورس
2023-04-29,1402-02-09,6680.0,7060.0,6660.0,6970.0,6910.0,27187832.0,187996486740.0,3069.0,کهمدا,شیشه همدان,بورس
2023-04-30,1402-02-10,7000.0,7350.0,7000.0,7170.0,7200.0,21049165.0,151479618970.0,2826.0,کهمدا,شیشه همدان,بورس
2023-05-01,1402-02-11,7360.0,7410.0,7000.0,7190.0,7180.0,18616715.0,133582659690.0,2461.0,کهمدا,شیشه همدان,بورس
2023-05-02,1402-02-12,7210.0,7420.0,7020.0,7270.0,7250.0,19224288.0,139375314720.0,1912.0,کهمدا,شیشه همدان,بورس
2023-05-03,1402-02-13,7390.0,7390.0,6990.0,7100.0,7100.0,24665579.0,175101397230.0,2870.0,کهمدا,شیشه همدان,بورس
2023-05-06,1402-02-16,7260.0,7260.0,7010.0,7040.0,7080.0,19815639.0,140376611750.0,2427.0,کهمدا,شیشه همدان,بورس
2023-05-07,1402-02-17,6950.0,7180.0,6590.0,6590.0,6620.0,23822538.0,157669568160.0,1500.0,کهمدا,شیشه همدان,بورس
2023-05-08,1402-02-18,6160.0,6270.0,6160.0,6160.0,6160.0,4429779.0,27300990960.0,394.0,کهمدا,شیشه همدان,بورس
2023-05-09,1402-02-19,5730.0,6130.0,5730.0,6000.0,5900.0,24616016.0,145336350200.0,2213.0,کهمدا,شیشه همدان,بورس
2023-05-10,1402-02-20,6140.0,6140.0,5490.0,5490.0,5540.0,24373634.0,135102929600.0,1491.0,کهمدا,شیشه همدان,بورس
2023-05-13,1402-02-23,5410.0,5540.0,5160.0,5280.0,5190.0,27004131.0,140209834350.0,1429.0,کهمدا,شیشه همدان,بورس
2023-05-14,1402-02-24,5450.0,5550.0,5240.0,5550.0,5500.0,34486245.0,189668548240.0,1455.0,کهمدا,شیشه همدان,بورس
2023-05-15,1402-02-25,5610.0,5740.0,5450.0,5630.0,5610.0,19341223.0,108559447900.0,1233.0,کهمدا,شیشه همدان,بورس
2023-05-17,1402-02-27,5650.0,6000.0,5600.0,6000.0,5970.0,15180041.0,90550321470.0,878.0,کهمدا,شیشه همدان,بورس
2023-05-20,1402-02-30,6010.0,6150.0,5730.0,6000.0,5980.0,19156127.0,114482473960.0,1266.0,کهمدا,شیشه همدان,بورس
2023-05-21,1402-02-31,6020.0,6250.0,6000.0,6120.0,6120.0,5928632.0,36273843910.0,513.0,کهمدا,شیشه همدان,بورس
